organizationSlug,branchCode,categoryName,taxCategoryName,name,price,itemType,station,sortOrder,isActive,sku,description,imageUrl,metadata
nimbus,TAPAS_DOWNTOWN,Small Plates,VAT 18%,Crispy Plantain Cups,18000.00,FOOD,KITCHEN,1,true,TA-001,Demo Tapas Downtown menu item,,"{""branchPersonality"": ""Tapas Downtown""}"
nimbus,TAPAS_DOWNTOWN,Small Plates,VAT 18%,Tomato Bruschetta,22000.00,FOOD,COLD_KITCHEN,2,true,TA-002,Demo Tapas Downtown menu item,,"{""branchPersonality"": ""Tapas Downtown""}"
nimbus,TAPAS_DOWNTOWN,Small Plates,VAT 18%,Sesame Chicken Skewers,28000.00,FOOD,KITCHEN,3,true,TA-003,Demo Tapas Downtown menu item,,"{""branchPersonality"": ""Tapas Downtown""}"
nimbus,TAPAS_DOWNTOWN,Small Plates,VAT 18%,Halloumi Bites,26000.00,FOOD,KITCHEN,4,true,TA-004,Demo Tapas Downtown menu item,,"{""branchPersonality"": ""Tapas Downtown""}"
nimbus,TAPAS_DOWNTOWN,Mains,VAT 18%,Grilled Chicken Bowl,42000.00,FOOD,KITCHEN,5,true,TA-005,Demo Tapas Downtown menu item,,"{""branchPersonality"": ""Tapas Downtown""}"
nimbus,TAPAS_DOWNTOWN,Mains,VAT 18%,Garden Vegetable Pasta,36000.00,FOOD,KITCHEN,6,true,TA-006,Demo Tapas Downtown menu item,,"{""branchPersonality"": ""Tapas Downtown""}"
nimbus,TAPAS_DOWNTOWN,Mains,VAT 18%,Beef Fillet Plate,56000.00,FOOD,KITCHEN,7,true,TA-007,Demo Tapas Downtown menu item,,"{""branchPersonality"": ""Tapas Downtown""}"
nimbus,TAPAS_DOWNTOWN,Mains,VAT 18%,Tilapia Lemon Herb,48000.00,FOOD,KITCHEN,8,true,TA-008,Demo Tapas Downtown menu item,,"{""branchPersonality"": ""Tapas Downtown""}"
nimbus,TAPAS_DOWNTOWN,Mains,VAT 18%,Mushroom Risotto,38000.00,FOOD,KITCHEN,9,true,TA-009,Demo Tapas Downtown menu item,,"{""branchPersonality"": ""Tapas Downtown""}"
nimbus,TAPAS_DOWNTOWN,Sides,VAT 18%,Herb Fries,12000.00,FOOD,KITCHEN,10,true,TA-010,Demo Tapas Downtown menu item,,"{""branchPersonality"": ""Tapas Downtown""}"
nimbus,TAPAS_DOWNTOWN,Sides,VAT 18%,Seasonal Salad,15000.00,FOOD,COLD_KITCHEN,11,true,TA-011,Demo Tapas Downtown menu item,,"{""branchPersonality"": ""Tapas Downtown""}"
nimbus,TAPAS_DOWNTOWN,Sides,VAT 18%,Garlic Flatbread,10000.00,FOOD,KITCHEN,12,true,TA-012,Demo Tapas Downtown menu item,,"{""branchPersonality"": ""Tapas Downtown""}"
nimbus,TAPAS_DOWNTOWN,Desserts,VAT 18%,Passion Fruit Cheesecake,21000.00,FOOD,DESSERT,13,true,TA-013,Demo Tapas Downtown menu item,,"{""branchPersonality"": ""Tapas Downtown""}"
nimbus,TAPAS_DOWNTOWN,Desserts,VAT 18%,Chocolate Date Tart,24000.00,FOOD,DESSERT,14,true,TA-014,Demo Tapas Downtown menu item,,"{""branchPersonality"": ""Tapas Downtown""}"
nimbus,TAPAS_DOWNTOWN,Coffee & Tea,VAT 18%,Americano,9000.00,DRINK,BAR,15,true,TA-015,Demo Tapas Downtown menu item,,"{""branchPersonality"": ""Tapas Downtown""}"
