branchCode,menuItemName,groupName,subgroupName
TAPAS_DOWNTOWN,Crispy Plantain Cups,Small Plates,Hot Small Plates
TAPAS_DOWNTOWN,Tomato Bruschetta,Small Plates,Cold Small Plates
TAPAS_DOWNTOWN,Sesame Chicken Skewers,Small Plates,Hot Small Plates
TAPAS_DOWNTOWN,Halloumi Bites,Small Plates,Hot Small Plates
TAPAS_DOWNTOWN,Grilled Chicken Bowl,Mains,Bowls & Pasta
TAPAS_DOWNTOWN,Garden Vegetable Pasta,Mains,Bowls & Pasta
TAPAS_DOWNTOWN,Beef Fillet Plate,Mains,Grills & Plates
TAPAS_DOWNTOWN,Tilapia Lemon Herb,Mains,Grills & Plates
TAPAS_DOWNTOWN,Mushroom Risotto,Mains,Bowls & Pasta
TAPAS_DOWNTOWN,Herb Fries,Sides,
TAPAS_DOWNTOWN,Seasonal Salad,Sides,
TAPAS_DOWNTOWN,Garlic Flatbread,Sides,
TAPAS_DOWNTOWN,Passion Fruit Cheesecake,Desserts,
TAPAS_DOWNTOWN,Chocolate Date Tart,Desserts,
TAPAS_DOWNTOWN,Americano,Coffee & Tea,Coffee
TAPAS_DOWNTOWN,Cafe Latte,Coffee & Tea,Coffee
TAPAS_DOWNTOWN,Spiced Chai,Coffee & Tea,Tea
TAPAS_DOWNTOWN,Mint Lime Spritz,Zero-Proof Bar,Spritzes
TAPAS_DOWNTOWN,Ginger Hibiscus Cooler,Zero-Proof Bar,Coolers
TAPAS_DOWNTOWN,Mango Passion Juice,Fresh Juice,Juices
TAPAS_DOWNTOWN,Smoked Eggplant Dip,Small Plates,Cold Small Plates
TAPAS_DOWNTOWN,Charred Octopus Style Mushroom,Small Plates,Hot Small Plates
TAPAS_DOWNTOWN,Chicken Empanada Trio,Small Plates,Hot Small Plates
TAPAS_DOWNTOWN,Citrus Greens Bowl,Small Plates,Cold Small Plates
TAPAS_DOWNTOWN,Matoke Croquettes,Small Plates,Hot Small Plates
