branchCode,menuItemName,label,format,price,isDefault,sku,sortOrder,metadata
TAPAS_DOWNTOWN,Crispy Plantain Cups,Standard,SINGLE,18000.00,true,TA-001-STD,1,"{""default"": true}"
TAPAS_DOWNTOWN,Tomato Bruschetta,Standard,SINGLE,22000.00,true,TA-002-STD,1,"{""default"": true}"
TAPAS_DOWNTOWN,Tomato Bruschetta,Share,CUSTOM,36300.00,false,TA-002-SHR,2,"{""sharing"": true}"
TAPAS_DOWNTOWN,Sesame Chicken Skewers,Standard,SINGLE,28000.00,true,TA-003-STD,1,"{""default"": true}"
TAPAS_DOWNTOWN,Halloumi Bites,Standard,SINGLE,26000.00,true,TA-004-STD,1,"{""default"": true}"
TAPAS_DOWNTOWN,Grilled Chicken Bowl,Standard,SINGLE,42000.00,true,TA-005-STD,1,"{""default"": true}"
TAPAS_DOWNTOWN,Garden Vegetable Pasta,Standard,SINGLE,36000.00,true,TA-006-STD,1,"{""default"": true}"
TAPAS_DOWNTOWN,Beef Fillet Plate,Standard,SINGLE,56000.00,true,TA-007-STD,1,"{""default"": true}"
TAPAS_DOWNTOWN,Tilapia Lemon Herb,Standard,SINGLE,48000.00,true,TA-008-STD,1,"{""default"": true}"
TAPAS_DOWNTOWN,Mushroom Risotto,Standard,SINGLE,38000.00,true,TA-009-STD,1,"{""default"": true}"
TAPAS_DOWNTOWN,Herb Fries,Standard,SINGLE,12000.00,true,TA-010-STD,1,"{""default"": true}"
TAPAS_DOWNTOWN,Seasonal Salad,Standard,SINGLE,15000.00,true,TA-011-STD,1,"{""default"": true}"
TAPAS_DOWNTOWN,Garlic Flatbread,Standard,SINGLE,10000.00,true,TA-012-STD,1,"{""default"": true}"
TAPAS_DOWNTOWN,Garlic Flatbread,Share,CUSTOM,16500.00,false,TA-012-SHR,2,"{""sharing"": true}"
TAPAS_DOWNTOWN,Passion Fruit Cheesecake,Standard,SINGLE,21000.00,true,TA-013-STD,1,"{""default"": true}"
TAPAS_DOWNTOWN,Chocolate Date Tart,Standard,SINGLE,24000.00,true,TA-014-STD,1,"{""default"": true}"
TAPAS_DOWNTOWN,Americano,Standard,GLASS,9000.00,true,TA-015-STD,1,"{""default"": true}"
TAPAS_DOWNTOWN,Americano,Large,CUP,12150.00,false,TA-015-LRG,2,"{""upsell"": true}"
TAPAS_DOWNTOWN,Cafe Latte,Standard,GLASS,12000.00,true,TA-016-STD,1,"{""default"": true}"
TAPAS_DOWNTOWN,Cafe Latte,Large,CUP,16200.00,false,TA-016-LRG,2,"{""upsell"": true}"
TAPAS_DOWNTOWN,Spiced Chai,Standard,GLASS,11000.00,true,TA-017-STD,1,"{""default"": true}"
TAPAS_DOWNTOWN,Spiced Chai,Large,CUP,14850.00,false,TA-017-LRG,2,"{""upsell"": true}"
TAPAS_DOWNTOWN,Mint Lime Spritz,Standard,GLASS,16000.00,true,TA-018-STD,1,"{""default"": true}"
TAPAS_DOWNTOWN,Mint Lime Spritz,Large,CUP,21600.00,false,TA-018-LRG,2,"{""upsell"": true}"
TAPAS_DOWNTOWN,Ginger Hibiscus Cooler,Standard,GLASS,17000.00,true,TA-019-STD,1,"{""default"": true}"
