organizationSlug,branchCode,name,unit,category,theoreticalUnitCost,reorderLevel,reorderQty,isActive,sku,preferredSupplierKey,metadata
nimbus,TAPAS_DOWNTOWN,Chicken Breast,kg,Proteins,18000.00,10.00,20.00,true,TA-INV-001,Fresh Fields Produce,"{""demoCategory"": ""Proteins""}"
nimbus,TAPAS_DOWNTOWN,Beef Fillet,kg,Proteins,32000.00,15.00,25.00,true,TA-INV-002,Lake Harvest Foods,"{""demoCategory"": ""Proteins""}"
nimbus,TAPAS_DOWNTOWN,Tilapia Fillet,kg,Proteins,26000.00,20.00,30.00,true,TA-INV-003,Prime Poultry Demo,"{""demoCategory"": ""Proteins""}"
nimbus,TAPAS_DOWNTOWN,Mushrooms,kg,Produce,9000.00,25.00,35.00,true,TA-INV-004,Kampala Dry Goods,"{""demoCategory"": ""Produce""}"
nimbus,TAPAS_DOWNTOWN,Eggplant,kg,Produce,6000.00,30.00,40.00,true,TA-INV-005,Cafe Bean Collective,"{""demoCategory"": ""Produce""}"
nimbus,TAPAS_DOWNTOWN,Tomatoes,kg,Produce,4500.00,10.00,45.00,true,TA-INV-006,Skyline Beverage Supply,"{""demoCategory"": ""Produce""}"
nimbus,TAPAS_DOWNTOWN,Avocado,kg,Produce,7000.00,15.00,50.00,true,TA-INV-007,CleanOps Services,"{""demoCategory"": ""Produce""}"
nimbus,TAPAS_DOWNTOWN,Plantain,kg,Produce,5000.00,20.00,20.00,true,TA-INV-008,Kampala Utilities Demo,"{""demoCategory"": ""Produce""}"
nimbus,TAPAS_DOWNTOWN,Lettuce,kg,Produce,5500.00,25.00,25.00,true,TA-INV-009,Event Rentals Demo,"{""demoCategory"": ""Produce""}"
nimbus,TAPAS_DOWNTOWN,Herbs Mix,kg,Produce,12000.00,30.00,30.00,true,TA-INV-010,Cloud Apps Demo,"{""demoCategory"": ""Produce""}"
nimbus,TAPAS_DOWNTOWN,Potatoes,kg,Produce,3800.00,10.00,35.00,true,TA-INV-011,Fresh Fields Produce,"{""demoCategory"": ""Produce""}"
nimbus,TAPAS_DOWNTOWN,Flatbread Dough,kg,Bakery,6500.00,15.00,40.00,true,TA-INV-012,Lake Harvest Foods,"{""demoCategory"": ""Bakery""}"
nimbus,TAPAS_DOWNTOWN,Pasta,kg,Dry Goods,7000.00,20.00,45.00,true,TA-INV-013,Prime Poultry Demo,"{""demoCategory"": ""Dry Goods""}"
nimbus,TAPAS_DOWNTOWN,Rice,kg,Dry Goods,5200.00,25.00,50.00,true,TA-INV-014,Kampala Dry Goods,"{""demoCategory"": ""Dry Goods""}"
nimbus,TAPAS_DOWNTOWN,Cheese,kg,Dairy,24000.00,30.00,20.00,true,TA-INV-015,Cafe Bean Collective,"{""demoCategory"": ""Dairy""}"
nimbus,TAPAS_DOWNTOWN,Yoghurt,ltr,Dairy,7500.00,10.00,25.00,true,TA-INV-016,Skyline Beverage Supply,"{""demoCategory"": ""Dairy""}"
nimbus,TAPAS_DOWNTOWN,Cream,ltr,Dairy,9000.00,15.00,30.00,true,TA-INV-017,CleanOps Services,"{""demoCategory"": ""Dairy""}"
nimbus,TAPAS_DOWNTOWN,Coffee Beans,kg,Cafe,28000.00,20.00,35.00,true,TA-INV-018,Kampala Utilities Demo,"{""demoCategory"": ""Cafe""}"
nimbus,TAPAS_DOWNTOWN,Tea Leaves,kg,Cafe,18000.00,25.00,40.00,true,TA-INV-019,Event Rentals Demo,"{""demoCategory"": ""Cafe""}"
nimbus,TAPAS_DOWNTOWN,Mango Pulp,ltr,Beverage,8500.00,30.00,45.00,true,TA-INV-020,Cloud Apps Demo,"{""demoCategory"": ""Beverage""}"
nimbus,TAPAS_DOWNTOWN,Passion Fruit Pulp,ltr,Beverage,9200.00,10.00,50.00,true,TA-INV-021,Fresh Fields Produce,"{""demoCategory"": ""Beverage""}"
nimbus,TAPAS_DOWNTOWN,Lime Juice,ltr,Beverage,7000.00,15.00,20.00,true,TA-INV-022,Lake Harvest Foods,"{""demoCategory"": ""Beverage""}"
nimbus,TAPAS_DOWNTOWN,Ginger Syrup,ltr,Beverage,10000.00,20.00,25.00,true,TA-INV-023,Prime Poultry Demo,"{""demoCategory"": ""Beverage""}"
nimbus,TAPAS_DOWNTOWN,Hibiscus Syrup,ltr,Beverage,11000.00,25.00,30.00,true,TA-INV-024,Kampala Dry Goods,"{""demoCategory"": ""Beverage""}"
nimbus,TAPAS_DOWNTOWN,Sparkling Water,ltr,Beverage,3500.00,30.00,35.00,true,TA-INV-025,Cafe Bean Collective,"{""demoCategory"": ""Beverage""}"
nimbus,TAPAS_DOWNTOWN,Chocolate,kg,Dry Goods,16000.00,10.00,40.00,true,TA-INV-026,Skyline Beverage Supply,"{""demoCategory"": ""Dry Goods""}"
nimbus,TAPAS_DOWNTOWN,Dates,kg,Dry Goods,14000.00,15.00,45.00,true,TA-INV-027,CleanOps Services,"{""demoCategory"": ""Dry Goods""}"
nimbus,TAPAS_DOWNTOWN,Sugar,kg,Dry Goods,4500.00,20.00,50.00,true,TA-INV-028,Kampala Utilities Demo,"{""demoCategory"": ""Dry Goods""}"
nimbus,TAPAS_DOWNTOWN,Flour,kg,Dry Goods,4800.00,25.00,20.00,true,TA-INV-029,Event Rentals Demo,"{""demoCategory"": ""Dry Goods""}"
nimbus,TAPAS_DOWNTOWN,Cooking Oil,ltr,Dry Goods,9000.00,30.00,25.00,true,TA-INV-030,Cloud Apps Demo,"{""demoCategory"": ""Dry Goods""}"
nimbus,TAPAS_DOWNTOWN,Salt,kg,Dry Goods,1800.00,10.00,30.00,true,TA-INV-031,Fresh Fields Produce,"{""demoCategory"": ""Dry Goods""}"
nimbus,TAPAS_DOWNTOWN,Black Pepper,kg,Dry Goods,21000.00,15.00,35.00,true,TA-INV-032,Lake Harvest Foods,"{""demoCategory"": ""Dry Goods""}"
nimbus,TAPAS_DOWNTOWN,Garlic,kg,Produce,7500.00,20.00,40.00,true,TA-INV-033,Prime Poultry Demo,"{""demoCategory"": ""Produce""}"
nimbus,TAPAS_DOWNTOWN,Onion,kg,Produce,4000.00,25.00,45.00,true,TA-INV-034,Kampala Dry Goods,"{""demoCategory"": ""Produce""}"
nimbus,TAPAS_DOWNTOWN,Cucumber,kg,Produce,5000.00,30.00,50.00,true,TA-INV-035,Cafe Bean Collective,"{""demoCategory"": ""Produce""}"
nimbus,TAPAS_DOWNTOWN,Basil,kg,Produce,14500.00,10.00,20.00,true,TA-INV-036,Skyline Beverage Supply,"{""demoCategory"": ""Produce""}"
nimbus,TAPAS_DOWNTOWN,Cranberry Juice,ltr,Beverage,8200.00,15.00,25.00,true,TA-INV-037,CleanOps Services,"{""demoCategory"": ""Beverage""}"
nimbus,TAPAS_DOWNTOWN,Vanilla Syrup,ltr,Cafe,13000.00,20.00,30.00,true,TA-INV-038,Kampala Utilities Demo,"{""demoCategory"": ""Cafe""}"
nimbus,TAPAS_DOWNTOWN,Oats,kg,Dry Goods,7600.00,25.00,35.00,true,TA-INV-039,Event Rentals Demo,"{""demoCategory"": ""Dry Goods""}"
nimbus,TAPAS_DOWNTOWN,Bananas,kg,Produce,4200.00,30.00,40.00,true,TA-INV-040,Cloud Apps Demo,"{""demoCategory"": ""Produce""}"
nimbus,TAPAS_DOWNTOWN,Mini Dessert Base,unit,Bakery,1200.00,10.00,45.00,true,TA-INV-041,Fresh Fields Produce,"{""demoCategory"": ""Bakery""}"
nimbus,TAPAS_DOWNTOWN,Packaging Box,unit,Packaging,900.00,15.00,50.00,true,TA-INV-042,Lake Harvest Foods,"{""demoCategory"": ""Packaging""}"
nimbus,TAPAS_DOWNTOWN,Napkins,unit,Packaging,80.00,20.00,20.00,true,TA-INV-043,Prime Poultry Demo,"{""demoCategory"": ""Packaging""}"
nimbus,TAPAS_DOWNTOWN,Cleaning Solution,ltr,Cleaning,6000.00,25.00,25.00,true,TA-INV-044,Kampala Dry Goods,"{""demoCategory"": ""Cleaning""}"
nimbus,TAPAS_DOWNTOWN,Receipt Paper Roll,unit,Packaging,2500.00,30.00,30.00,true,TA-INV-045,Cafe Bean Collective,"{""demoCategory"": ""Packaging""}"
nimbus,ROOFTOP_BAR,Chicken Breast,kg,Proteins,18900.00,10.00,20.00,true,RO-INV-001,Fresh Fields Produce,"{""demoCategory"": ""Proteins""}"
nimbus,ROOFTOP_BAR,Beef Fillet,kg,Proteins,33600.00,15.00,25.00,true,RO-INV-002,Lake Harvest Foods,"{""demoCategory"": ""Proteins""}"
nimbus,ROOFTOP_BAR,Tilapia Fillet,kg,Proteins,27300.00,20.00,30.00,true,RO-INV-003,Prime Poultry Demo,"{""demoCategory"": ""Proteins""}"
nimbus,ROOFTOP_BAR,Mushrooms,kg,Produce,9450.00,25.00,35.00,true,RO-INV-004,Kampala Dry Goods,"{""demoCategory"": ""Produce""}"
nimbus,ROOFTOP_BAR,Eggplant,kg,Produce,6300.00,30.00,40.00,true,RO-INV-005,Cafe Bean Collective,"{""demoCategory"": ""Produce""}"
nimbus,ROOFTOP_BAR,Tomatoes,kg,Produce,4725.00,10.00,45.00,true,RO-INV-006,Skyline Beverage Supply,"{""demoCategory"": ""Produce""}"
nimbus,ROOFTOP_BAR,Avocado,kg,Produce,7350.00,15.00,50.00,true,RO-INV-007,CleanOps Services,"{""demoCategory"": ""Produce""}"
nimbus,ROOFTOP_BAR,Plantain,kg,Produce,5250.00,20.00,20.00,true,RO-INV-008,Kampala Utilities Demo,"{""demoCategory"": ""Produce""}"
nimbus,ROOFTOP_BAR,Lettuce,kg,Produce,5775.00,25.00,25.00,true,RO-INV-009,Event Rentals Demo,"{""demoCategory"": ""Produce""}"
nimbus,ROOFTOP_BAR,Herbs Mix,kg,Produce,12600.00,30.00,30.00,true,RO-INV-010,Cloud Apps Demo,"{""demoCategory"": ""Produce""}"
nimbus,ROOFTOP_BAR,Potatoes,kg,Produce,3990.00,10.00,35.00,true,RO-INV-011,Fresh Fields Produce,"{""demoCategory"": ""Produce""}"
nimbus,ROOFTOP_BAR,Flatbread Dough,kg,Bakery,6825.00,15.00,40.00,true,RO-INV-012,Lake Harvest Foods,"{""demoCategory"": ""Bakery""}"
nimbus,ROOFTOP_BAR,Pasta,kg,Dry Goods,7350.00,20.00,45.00,true,RO-INV-013,Prime Poultry Demo,"{""demoCategory"": ""Dry Goods""}"
nimbus,ROOFTOP_BAR,Rice,kg,Dry Goods,5460.00,25.00,50.00,true,RO-INV-014,Kampala Dry Goods,"{""demoCategory"": ""Dry Goods""}"
nimbus,ROOFTOP_BAR,Cheese,kg,Dairy,25200.00,30.00,20.00,true,RO-INV-015,Cafe Bean Collective,"{""demoCategory"": ""Dairy""}"
nimbus,ROOFTOP_BAR,Yoghurt,ltr,Dairy,7875.00,10.00,25.00,true,RO-INV-016,Skyline Beverage Supply,"{""demoCategory"": ""Dairy""}"
nimbus,ROOFTOP_BAR,Cream,ltr,Dairy,9450.00,15.00,30.00,true,RO-INV-017,CleanOps Services,"{""demoCategory"": ""Dairy""}"
nimbus,ROOFTOP_BAR,Coffee Beans,kg,Cafe,29400.00,20.00,35.00,true,RO-INV-018,Kampala Utilities Demo,"{""demoCategory"": ""Cafe""}"
nimbus,ROOFTOP_BAR,Tea Leaves,kg,Cafe,18900.00,25.00,40.00,true,RO-INV-019,Event Rentals Demo,"{""demoCategory"": ""Cafe""}"
nimbus,ROOFTOP_BAR,Mango Pulp,ltr,Beverage,8925.00,30.00,45.00,true,RO-INV-020,Cloud Apps Demo,"{""demoCategory"": ""Beverage""}"
