organizationSlug,branchCode,inventoryItemName,batchNumber,qtyReceived,qtyRemaining,unitCost,receivedAt,expiresAt,sourceType,sourceRef
nimbus,TAPAS_DOWNTOWN,Chicken Breast,B-TAPAS_DOWNTOWN-001-1,99.62,74.69,18000.00,2026-04-24T08:00:00Z,2026-06-23T08:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Chicken Breast,B-TAPAS_DOWNTOWN-001-2,99.24,42.47,18000.00,2026-06-17T12:00:00Z,2026-08-18T12:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Beef Fillet,B-TAPAS_DOWNTOWN-002-1,43.55,23.59,32000.00,2026-05-22T10:00:00Z,2026-06-29T10:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Beef Fillet,B-TAPAS_DOWNTOWN-002-2,48.26,29.79,32000.00,2026-06-01T09:00:00Z,2026-09-24T09:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Tilapia Fillet,B-TAPAS_DOWNTOWN-003-1,68.55,31.25,26000.00,2026-06-05T09:00:00Z,2026-09-14T09:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Tilapia Fillet,B-TAPAS_DOWNTOWN-003-2,51.99,34.84,26000.00,2026-04-08T08:00:00Z,2026-05-29T08:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Mushrooms,B-TAPAS_DOWNTOWN-004-1,35.02,32.80,9000.00,2026-06-05T10:00:00Z,2026-06-29T10:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Mushrooms,B-TAPAS_DOWNTOWN-004-2,110.02,62.93,9000.00,2026-04-07T08:00:00Z,2026-05-01T08:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Eggplant,B-TAPAS_DOWNTOWN-005-1,106.83,66.82,6000.00,2026-05-31T13:00:00Z,2026-08-21T13:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Eggplant,B-TAPAS_DOWNTOWN-005-2,71.64,64.21,6000.00,2026-05-27T06:00:00Z,2026-07-26T06:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Tomatoes,B-TAPAS_DOWNTOWN-006-1,20.63,16.31,4500.00,2026-05-16T06:00:00Z,2026-06-06T06:00:00Z,OPENING_BALANCE,DEMO_IMPORT
