organizationSlug,branchCode,code,salaryBasis,baseAmount,currency,active,metadata
nimbus,TAPAS_DOWNTOWN,TAPAS_DOWNTOWN-MGR,MONTHLY,2800000.00,UGX,true,"{""demoProfile"": ""MGR""}"
nimbus,TAPAS_DOWNTOWN,TAPAS_DOWNTOWN-SERVICE,MONTHLY,900000.00,UGX,true,"{""demoProfile"": ""SERVICE""}"
nimbus,TAPAS_DOWNTOWN,TAPAS_DOWNTOWN-KITCHEN,MONTHLY,1200000.00,UGX,true,"{""demoProfile"": ""KITCHEN""}"
nimbus,TAPAS_DOWNTOWN,TAPAS_DOWNTOWN-CASUAL,DAILY,60000.00,UGX,true,"{""demoProfile"": ""CASUAL""}"
nimbus,TAPAS_DOWNTOWN,TAPAS_DOWNTOWN-HOURLY,HOURLY,8000.00,UGX,true,"{""demoProfile"": ""HOURLY""}"
nimbus,ROOFTOP_BAR,ROOFTOP_BAR-MGR,MONTHLY,2800000.00,UGX,true,"{""demoProfile"": ""MGR""}"
nimbus,ROOFTOP_BAR,ROOFTOP_BAR-SERVICE,MONTHLY,900000.00,UGX,true,"{""demoProfile"": ""SERVICE""}"
nimbus,ROOFTOP_BAR,ROOFTOP_BAR-KITCHEN,MONTHLY,1200000.00,UGX,true,"{""demoProfile"": ""KITCHEN""}"
nimbus,ROOFTOP_BAR,ROOFTOP_BAR-CASUAL,DAILY,60000.00,UGX,true,"{""demoProfile"": ""CASUAL""}"
nimbus,ROOFTOP_BAR,ROOFTOP_BAR-HOURLY,HOURLY,8000.00,UGX,true,"{""demoProfile"": ""HOURLY""}"
nimbus,GARDEN_CAFE,GARDEN_CAFE-MGR,MONTHLY,2800000.00,UGX,true,"{""demoProfile"": ""MGR""}"
nimbus,GARDEN_CAFE,GARDEN_CAFE-SERVICE,MONTHLY,900000.00,UGX,true,"{""demoProfile"": ""SERVICE""}"
nimbus,GARDEN_CAFE,GARDEN_CAFE-KITCHEN,MONTHLY,1200000.00,UGX,true,"{""demoProfile"": ""KITCHEN""}"
nimbus,GARDEN_CAFE,GARDEN_CAFE-CASUAL,DAILY,60000.00,UGX,true,"{""demoProfile"": ""CASUAL""}"
nimbus,GARDEN_CAFE,GARDEN_CAFE-HOURLY,HOURLY,8000.00,UGX,true,"{""demoProfile"": ""HOURLY""}"
nimbus,EVENTS_KITCHEN,EVENTS_KITCHEN-MGR,MONTHLY,2800000.00,UGX,true,"{""demoProfile"": ""MGR""}"
nimbus,EVENTS_KITCHEN,EVENTS_KITCHEN-SERVICE,MONTHLY,900000.00,UGX,true,"{""demoProfile"": ""SERVICE""}"
nimbus,EVENTS_KITCHEN,EVENTS_KITCHEN-KITCHEN,MONTHLY,1200000.00,UGX,true,"{""demoProfile"": ""KITCHEN""}"
nimbus,EVENTS_KITCHEN,EVENTS_KITCHEN-CASUAL,DAILY,60000.00,UGX,true,"{""demoProfile"": ""CASUAL""}"
nimbus,EVENTS_KITCHEN,EVENTS_KITCHEN-HOURLY,HOURLY,8000.00,UGX,true,"{""demoProfile"": ""HOURLY""}"
