organizationSlug,branchCode,shiftNumber,openedByEmail,status,openedAt,closedAt,closedByEmail,notes
nimbus,TAPAS_DOWNTOWN,SH-TAPAS_DOWNTOWN-001,cashier@nimbus.demo,CLOSED,2026-06-10T06:00:00Z,2026-06-10T15:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,TAPAS_DOWNTOWN,SH-TAPAS_DOWNTOWN-002,supervisor@nimbus.demo,CLOSED,2026-06-11T06:00:00Z,2026-06-11T15:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,TAPAS_DOWNTOWN,SH-TAPAS_DOWNTOWN-003,cashier@nimbus.demo,CLOSED,2026-06-12T06:00:00Z,2026-06-12T15:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,TAPAS_DOWNTOWN,SH-TAPAS_DOWNTOWN-004,manager@nimbus.demo,CLOSED,2026-06-13T06:00:00Z,2026-06-13T15:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,TAPAS_DOWNTOWN,SH-TAPAS_DOWNTOWN-005,manager@nimbus.demo,CLOSED,2026-06-14T06:00:00Z,2026-06-14T15:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,TAPAS_DOWNTOWN,SH-TAPAS_DOWNTOWN-006,manager@nimbus.demo,CLOSED,2026-06-15T06:00:00Z,2026-06-15T15:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,TAPAS_DOWNTOWN,SH-TAPAS_DOWNTOWN-007,cashier@nimbus.demo,CLOSED,2026-06-16T06:00:00Z,2026-06-16T15:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,TAPAS_DOWNTOWN,SH-TAPAS_DOWNTOWN-008,supervisor@nimbus.demo,CLOSED,2026-06-17T06:00:00Z,2026-06-17T15:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,TAPAS_DOWNTOWN,SH-TAPAS_DOWNTOWN-009,cashier@nimbus.demo,CLOSED,2026-06-18T06:00:00Z,2026-06-18T15:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,TAPAS_DOWNTOWN,SH-TAPAS_DOWNTOWN-010,supervisor@nimbus.demo,CLOSED,2026-06-19T06:00:00Z,2026-06-19T15:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,TAPAS_DOWNTOWN,SH-TAPAS_DOWNTOWN-011,cashier@nimbus.demo,CLOSED,2026-06-20T06:00:00Z,2026-06-20T15:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,TAPAS_DOWNTOWN,SH-TAPAS_DOWNTOWN-012,cashier@nimbus.demo,CLOSED,2026-06-21T06:00:00Z,2026-06-21T15:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,TAPAS_DOWNTOWN,SH-TAPAS_DOWNTOWN-013,supervisor@nimbus.demo,CLOSED,2026-06-22T06:00:00Z,2026-06-22T15:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,TAPAS_DOWNTOWN,SH-TAPAS_DOWNTOWN-014,manager@nimbus.demo,CLOSED,2026-06-23T06:00:00Z,2026-06-23T15:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,TAPAS_DOWNTOWN,SH-TAPAS_DOWNTOWN-015,cashier@nimbus.demo,CLOSED,2026-06-24T06:00:00Z,2026-06-24T15:00:00Z,manager@nimbus.demo,Premium demo shift
