organizationSlug,branchCode,shiftNumber,tillNumber,operatorEmail,openingFloat,status,openedAt,closedAt,expectedCash,countedCash,variance
nimbus,TAPAS_DOWNTOWN,SH-TAPAS_DOWNTOWN-001,TILL-TAPAS_DOWNTOWN-001,cashier@nimbus.demo,250000.00,CLOSED,2026-06-10T06:00:00Z,2026-06-10T15:00:00Z,1222969.00,1083940.00,0.00
nimbus,TAPAS_DOWNTOWN,SH-TAPAS_DOWNTOWN-002,TILL-TAPAS_DOWNTOWN-002,cashier@nimbus.demo,250000.00,CLOSED,2026-06-11T06:00:00Z,2026-06-11T15:00:00Z,503331.00,1041845.00,-3000.00
nimbus,TAPAS_DOWNTOWN,SH-TAPAS_DOWNTOWN-003,TILL-TAPAS_DOWNTOWN-003,cashier@nimbus.demo,250000.00,CLOSED,2026-06-12T06:00:00Z,2026-06-12T15:00:00Z,1291565.00,1193939.00,8000.00
nimbus,TAPAS_DOWNTOWN,SH-TAPAS_DOWNTOWN-004,TILL-TAPAS_DOWNTOWN-004,cashier@nimbus.demo,250000.00,CLOSED,2026-06-13T06:00:00Z,2026-06-13T15:00:00Z,1037292.00,896211.00,0.00
nimbus,TAPAS_DOWNTOWN,SH-TAPAS_DOWNTOWN-005,TILL-TAPAS_DOWNTOWN-005,cashier@nimbus.demo,250000.00,CLOSED,2026-06-14T06:00:00Z,2026-06-14T15:00:00Z,678094.00,1259634.00,0.00
nimbus,TAPAS_DOWNTOWN,SH-TAPAS_DOWNTOWN-006,TILL-TAPAS_DOWNTOWN-006,cashier@nimbus.demo,250000.00,CLOSED,2026-06-15T06:00:00Z,2026-06-15T15:00:00Z,1112139.00,781861.00,5000.00
nimbus,TAPAS_DOWNTOWN,SH-TAPAS_DOWNTOWN-007,TILL-TAPAS_DOWNTOWN-007,cashier@nimbus.demo,250000.00,CLOSED,2026-06-16T06:00:00Z,2026-06-16T15:00:00Z,1037810.00,1075806.00,8000.00
nimbus,TAPAS_DOWNTOWN,SH-TAPAS_DOWNTOWN-008,TILL-TAPAS_DOWNTOWN-008,cashier@nimbus.demo,250000.00,CLOSED,2026-06-17T06:00:00Z,2026-06-17T15:00:00Z,1052940.00,454350.00,8000.00
nimbus,TAPAS_DOWNTOWN,SH-TAPAS_DOWNTOWN-009,TILL-TAPAS_DOWNTOWN-009,cashier@nimbus.demo,250000.00,CLOSED,2026-06-18T06:00:00Z,2026-06-18T15:00:00Z,1097207.00,599971.00,5000.00
nimbus,TAPAS_DOWNTOWN,SH-TAPAS_DOWNTOWN-010,TILL-TAPAS_DOWNTOWN-010,cashier@nimbus.demo,250000.00,CLOSED,2026-06-19T06:00:00Z,2026-06-19T15:00:00Z,1370202.00,989244.00,8000.00
nimbus,TAPAS_DOWNTOWN,SH-TAPAS_DOWNTOWN-011,TILL-TAPAS_DOWNTOWN-011,cashier@nimbus.demo,250000.00,CLOSED,2026-06-20T06:00:00Z,2026-06-20T15:00:00Z,1211394.00,1121389.00,0.00
nimbus,TAPAS_DOWNTOWN,SH-TAPAS_DOWNTOWN-012,TILL-TAPAS_DOWNTOWN-012,cashier@nimbus.demo,250000.00,CLOSED,2026-06-21T06:00:00Z,2026-06-21T15:00:00Z,1343839.00,627210.00,0.00
nimbus,TAPAS_DOWNTOWN,SH-TAPAS_DOWNTOWN-013,TILL-TAPAS_DOWNTOWN-013,cashier@nimbus.demo,250000.00,CLOSED,2026-06-22T06:00:00Z,2026-06-22T15:00:00Z,1083377.00,1166674.00,8000.00
nimbus,TAPAS_DOWNTOWN,SH-TAPAS_DOWNTOWN-014,TILL-TAPAS_DOWNTOWN-014,cashier@nimbus.demo,250000.00,CLOSED,2026-06-23T06:00:00Z,2026-06-23T15:00:00Z,848865.00,1312492.00,0.00
nimbus,TAPAS_DOWNTOWN,SH-TAPAS_DOWNTOWN-015,TILL-TAPAS_DOWNTOWN-015,cashier@nimbus.demo,250000.00,CLOSED,2026-06-24T06:00:00Z,2026-06-24T15:00:00Z,1203651.00,584918.00,-3000.00
nimbus,TAPAS_DOWNTOWN,SH-TAPAS_DOWNTOWN-016,TILL-TAPAS_DOWNTOWN-016,cashier@nimbus.demo,250000.00,CLOSED,2026-06-25T06:00:00Z,2026-06-25T15:00:00Z,1020362.00,1326698.00,0.00
nimbus,TAPAS_DOWNTOWN,SH-TAPAS_DOWNTOWN-017,TILL-TAPAS_DOWNTOWN-017,cashier@nimbus.demo,250000.00,CLOSED,2026-06-26T06:00:00Z,2026-06-26T15:00:00Z,1133794.00,1091588.00,5000.00
nimbus,TAPAS_DOWNTOWN,SH-TAPAS_DOWNTOWN-018,TILL-TAPAS_DOWNTOWN-018,cashier@nimbus.demo,250000.00,CLOSED,2026-06-27T06:00:00Z,2026-06-27T15:00:00Z,1280535.00,666110.00,8000.00
nimbus,TAPAS_DOWNTOWN,SH-TAPAS_DOWNTOWN-019,TILL-TAPAS_DOWNTOWN-019,cashier@nimbus.demo,250000.00,CLOSED,2026-06-28T06:00:00Z,2026-06-28T15:00:00Z,476251.00,846792.00,-3000.00
nimbus,TAPAS_DOWNTOWN,SH-TAPAS_DOWNTOWN-020,TILL-TAPAS_DOWNTOWN-020,cashier@nimbus.demo,250000.00,OPEN,2026-06-29T06:00:00Z,,1358935.00,,
