branchCode,reservationNumber,amount,status,method,reference,recordedByEmail,metadata
EVENTS_KITCHEN,RES-EVENTS_KITCHEN-0001,50000.00,RECEIVED,CASH,DEP-RES-EVENTS_KITCHEN-0001,cashier@nimbus.demo,"{""demoDeposit"": true}"
ROOFTOP_BAR,RES-ROOFTOP_BAR-0004,75000.00,RECEIVED,CASH,DEP-RES-ROOFTOP_BAR-0004,cashier@nimbus.demo,"{""demoDeposit"": true}"
ROOFTOP_BAR,RES-ROOFTOP_BAR-0007,75000.00,RECEIVED,CASH,DEP-RES-ROOFTOP_BAR-0007,cashier@nimbus.demo,"{""demoDeposit"": true}"
GARDEN_CAFE,RES-GARDEN_CAFE-0010,50000.00,RECEIVED,CASH,DEP-RES-GARDEN_CAFE-0010,cashier@nimbus.demo,"{""demoDeposit"": true}"
TAPAS_DOWNTOWN,RES-TAPAS_DOWNTOWN-0013,50000.00,RECEIVED,CASH,DEP-RES-TAPAS_DOWNTOWN-0013,cashier@nimbus.demo,"{""demoDeposit"": true}"
GARDEN_CAFE,RES-GARDEN_CAFE-0016,50000.00,RECEIVED,CASH,DEP-RES-GARDEN_CAFE-0016,cashier@nimbus.demo,"{""demoDeposit"": true}"
ROOFTOP_BAR,RES-ROOFTOP_BAR-0019,50000.00,RECEIVED,CASH,DEP-RES-ROOFTOP_BAR-0019,cashier@nimbus.demo,"{""demoDeposit"": true}"
TAPAS_DOWNTOWN,RES-TAPAS_DOWNTOWN-0022,50000.00,PENDING,CASH,DEP-RES-TAPAS_DOWNTOWN-0022,cashier@nimbus.demo,"{""demoDeposit"": true}"
EVENTS_KITCHEN,RES-EVENTS_KITCHEN-0025,75000.00,RECEIVED,CASH,DEP-RES-EVENTS_KITCHEN-0025,cashier@nimbus.demo,"{""demoDeposit"": true}"
ROOFTOP_BAR,RES-ROOFTOP_BAR-0028,50000.00,RECEIVED,CASH,DEP-RES-ROOFTOP_BAR-0028,cashier@nimbus.demo,"{""demoDeposit"": true}"
TAPAS_DOWNTOWN,RES-TAPAS_DOWNTOWN-0031,100000.00,RECEIVED,CASH,DEP-RES-TAPAS_DOWNTOWN-0031,cashier@nimbus.demo,"{""demoDeposit"": true}"
ROOFTOP_BAR,RES-ROOFTOP_BAR-0034,100000.00,RECEIVED,CASH,DEP-RES-ROOFTOP_BAR-0034,cashier@nimbus.demo,"{""demoDeposit"": true}"
GARDEN_CAFE,RES-GARDEN_CAFE-0037,100000.00,RECEIVED,CASH,DEP-RES-GARDEN_CAFE-0037,cashier@nimbus.demo,"{""demoDeposit"": true}"
EVENTS_KITCHEN,RES-EVENTS_KITCHEN-0040,75000.00,RECEIVED,CASH,DEP-RES-EVENTS_KITCHEN-0040,cashier@nimbus.demo,"{""demoDeposit"": true}"
TAPAS_DOWNTOWN,RES-TAPAS_DOWNTOWN-0043,75000.00,RECEIVED,CASH,DEP-RES-TAPAS_DOWNTOWN-0043,cashier@nimbus.demo,"{""demoDeposit"": true}"
EVENTS_KITCHEN,RES-EVENTS_KITCHEN-0046,75000.00,RECEIVED,CASH,DEP-RES-EVENTS_KITCHEN-0046,cashier@nimbus.demo,"{""demoDeposit"": true}"
TAPAS_DOWNTOWN,RES-TAPAS_DOWNTOWN-0049,50000.00,RECEIVED,CASH,DEP-RES-TAPAS_DOWNTOWN-0049,cashier@nimbus.demo,"{""demoDeposit"": true}"
