branchCode,eventNumber,name,type,price,capacity,sortOrder,metadata
EVENTS_KITCHEN,EVT-0001,General,GENERAL,65000.00,60,1,{}
EVENTS_KITCHEN,EVT-0001,VIP Table,VIP,150000.00,20,1,{}
EVENTS_KITCHEN,EVT-0001,Package,PACKAGE,220000.00,10,1,{}
TAPAS_DOWNTOWN,EVT-0002,General,GENERAL,65000.00,60,1,{}
TAPAS_DOWNTOWN,EVT-0002,VIP Table,VIP,150000.00,20,1,{}
TAPAS_DOWNTOWN,EVT-0002,Package,PACKAGE,220000.00,10,1,{}
EVENTS_KITCHEN,EVT-0003,General,GENERAL,65000.00,60,1,{}
EVENTS_KITCHEN,EVT-0003,VIP Table,VIP,150000.00,20,1,{}
EVENTS_KITCHEN,EVT-0003,Package,PACKAGE,220000.00,10,1,{}
GARDEN_CAFE,EVT-0004,General,GENERAL,65000.00,60,1,{}
GARDEN_CAFE,EVT-0004,VIP Table,VIP,150000.00,20,1,{}
GARDEN_CAFE,EVT-0004,Package,PACKAGE,220000.00,10,1,{}
EVENTS_KITCHEN,EVT-0005,General,GENERAL,65000.00,60,1,{}
EVENTS_KITCHEN,EVT-0005,VIP Table,VIP,150000.00,20,1,{}
EVENTS_KITCHEN,EVT-0005,Package,PACKAGE,220000.00,10,1,{}
ROOFTOP_BAR,EVT-0006,General,GENERAL,65000.00,60,1,{}
ROOFTOP_BAR,EVT-0006,VIP Table,VIP,150000.00,20,1,{}
ROOFTOP_BAR,EVT-0006,Package,PACKAGE,220000.00,10,1,{}
EVENTS_KITCHEN,EVT-0007,General,GENERAL,65000.00,60,1,{}
EVENTS_KITCHEN,EVT-0007,VIP Table,VIP,150000.00,20,1,{}
EVENTS_KITCHEN,EVT-0007,Package,PACKAGE,220000.00,10,1,{}
GARDEN_CAFE,EVT-0008,General,GENERAL,65000.00,60,1,{}
GARDEN_CAFE,EVT-0008,VIP Table,VIP,150000.00,20,1,{}
GARDEN_CAFE,EVT-0008,Package,PACKAGE,220000.00,10,1,{}
