branchCode,bookingNumber,ticketNumber,holderName,status,qrToken,checkedInAt
EVENTS_KITCHEN,BKG-01-001,TKT-01-001-01,Demo Ticket Holder 0-0-0,CHECKED_IN,demo-qr-0-0-0-not-secret,2026-06-01T03:15:00Z
EVENTS_KITCHEN,BKG-01-001,TKT-01-001-02,Demo Ticket Holder 0-0-1,CHECKED_IN,demo-qr-0-0-1-not-secret,2026-06-01T03:16:00Z
EVENTS_KITCHEN,BKG-01-001,TKT-01-001-03,Demo Ticket Holder 0-0-2,CHECKED_IN,demo-qr-0-0-2-not-secret,2026-06-01T03:17:00Z
EVENTS_KITCHEN,BKG-01-002,TKT-01-002-01,Demo Ticket Holder 0-1-0,ISSUED,demo-qr-0-1-0-not-secret,
EVENTS_KITCHEN,BKG-01-002,TKT-01-002-02,Demo Ticket Holder 0-1-1,ISSUED,demo-qr-0-1-1-not-secret,
EVENTS_KITCHEN,BKG-01-002,TKT-01-002-03,Demo Ticket Holder 0-1-2,ISSUED,demo-qr-0-1-2-not-secret,
EVENTS_KITCHEN,BKG-01-003,TKT-01-003-01,Demo Ticket Holder 0-2-0,CHECKED_IN,demo-qr-0-2-0-not-secret,2026-06-01T03:15:00Z
TAPAS_DOWNTOWN,BKG-02-001,TKT-02-001-01,Demo Ticket Holder 1-0-0,CHECKED_IN,demo-qr-1-0-0-not-secret,2026-06-11T03:15:00Z
TAPAS_DOWNTOWN,BKG-02-001,TKT-02-001-02,Demo Ticket Holder 1-0-1,CHECKED_IN,demo-qr-1-0-1-not-secret,2026-06-11T03:16:00Z
TAPAS_DOWNTOWN,BKG-02-001,TKT-02-001-03,Demo Ticket Holder 1-0-2,CHECKED_IN,demo-qr-1-0-2-not-secret,2026-06-11T03:17:00Z
TAPAS_DOWNTOWN,BKG-02-001,TKT-02-001-04,Demo Ticket Holder 1-0-3,CHECKED_IN,demo-qr-1-0-3-not-secret,2026-06-11T03:18:00Z
TAPAS_DOWNTOWN,BKG-02-002,TKT-02-002-01,Demo Ticket Holder 1-1-0,CHECKED_IN,demo-qr-1-1-0-not-secret,2026-06-11T03:15:00Z
TAPAS_DOWNTOWN,BKG-02-002,TKT-02-002-02,Demo Ticket Holder 1-1-1,CHECKED_IN,demo-qr-1-1-1-not-secret,2026-06-11T03:16:00Z
TAPAS_DOWNTOWN,BKG-02-002,TKT-02-002-03,Demo Ticket Holder 1-1-2,CHECKED_IN,demo-qr-1-1-2-not-secret,2026-06-11T03:17:00Z
TAPAS_DOWNTOWN,BKG-02-003,TKT-02-003-01,Demo Ticket Holder 1-2-0,ISSUED,demo-qr-1-2-0-not-secret,
TAPAS_DOWNTOWN,BKG-02-003,TKT-02-003-02,Demo Ticket Holder 1-2-1,ISSUED,demo-qr-1-2-1-not-secret,
EVENTS_KITCHEN,BKG-03-001,TKT-03-001-01,Demo Ticket Holder 2-0-0,CHECKED_IN,demo-qr-2-0-0-not-secret,2026-06-21T03:15:00Z
EVENTS_KITCHEN,BKG-03-001,TKT-03-001-02,Demo Ticket Holder 2-0-1,CHECKED_IN,demo-qr-2-0-1-not-secret,2026-06-21T03:16:00Z
EVENTS_KITCHEN,BKG-03-001,TKT-03-001-03,Demo Ticket Holder 2-0-2,CHECKED_IN,demo-qr-2-0-2-not-secret,2026-06-21T03:17:00Z
EVENTS_KITCHEN,BKG-03-002,TKT-03-002-01,Demo Ticket Holder 2-1-0,CHECKED_IN,demo-qr-2-1-0-not-secret,2026-06-21T03:15:00Z
EVENTS_KITCHEN,BKG-03-003,TKT-03-003-01,Demo Ticket Holder 2-2-0,CHECKED_IN,demo-qr-2-2-0-not-secret,2026-06-21T03:15:00Z
EVENTS_KITCHEN,BKG-03-003,TKT-03-003-02,Demo Ticket Holder 2-2-1,CHECKED_IN,demo-qr-2-2-1-not-secret,2026-06-21T03:16:00Z
EVENTS_KITCHEN,BKG-03-004,TKT-03-004-01,Demo Ticket Holder 2-3-0,CHECKED_IN,demo-qr-2-3-0-not-secret,2026-06-21T03:15:00Z
GARDEN_CAFE,BKG-04-001,TKT-04-001-01,Demo Ticket Holder 3-0-0,ISSUED,demo-qr-3-0-0-not-secret,
GARDEN_CAFE,BKG-04-001,TKT-04-001-02,Demo Ticket Holder 3-0-1,ISSUED,demo-qr-3-0-1-not-secret,
GARDEN_CAFE,BKG-04-001,TKT-04-001-03,Demo Ticket Holder 3-0-2,ISSUED,demo-qr-3-0-2-not-secret,
GARDEN_CAFE,BKG-04-001,TKT-04-001-04,Demo Ticket Holder 3-0-3,ISSUED,demo-qr-3-0-3-not-secret,
GARDEN_CAFE,BKG-04-002,TKT-04-002-01,Demo Ticket Holder 3-1-0,ISSUED,demo-qr-3-1-0-not-secret,
GARDEN_CAFE,BKG-04-002,TKT-04-002-02,Demo Ticket Holder 3-1-1,ISSUED,demo-qr-3-1-1-not-secret,
GARDEN_CAFE,BKG-04-003,TKT-04-003-01,Demo Ticket Holder 3-2-0,ISSUED,demo-qr-3-2-0-not-secret,
GARDEN_CAFE,BKG-04-003,TKT-04-003-02,Demo Ticket Holder 3-2-1,ISSUED,demo-qr-3-2-1-not-secret,
