organizationSlug,branchCode,journalNumber,journalDate,status,description,sourceKey,sourceId,fiscalPeriodName,postedByEmail
nimbus,EVENTS_KITCHEN,JRN-2026-0001,2026-06-03T05:00:00Z,POSTED,Demo balanced journal PAYROLL_EXPENSE,PAYROLL_EXPENSE,DEMO-0001,FY2026-06,accountant@nimbus.demo
nimbus,EVENTS_KITCHEN,JRN-2026-0002,2026-04-26T05:00:00Z,POSTED,Demo balanced journal PAYMENT_RECEIVED,PAYMENT_RECEIVED,DEMO-0002,FY2026-04,accountant@nimbus.demo
nimbus,EVENTS_KITCHEN,JRN-2026-0003,2026-06-25T05:00:00Z,POSTED,Demo balanced journal PAYROLL_EXPENSE,PAYROLL_EXPENSE,DEMO-0003,FY2026-06,accountant@nimbus.demo
nimbus,EVENTS_KITCHEN,JRN-2026-0004,2026-05-03T05:00:00Z,POSTED,Demo balanced journal ORDER_REVENUE,ORDER_REVENUE,DEMO-0004,FY2026-05,accountant@nimbus.demo
nimbus,ROOFTOP_BAR,JRN-2026-0005,2026-04-02T05:00:00Z,POSTED,Demo balanced journal PAYMENT_RECEIVED,PAYMENT_RECEIVED,DEMO-0005,FY2026-04,accountant@nimbus.demo
nimbus,TAPAS_DOWNTOWN,JRN-2026-0006,2026-04-10T05:00:00Z,POSTED,Demo balanced journal PAYMENT_RECEIVED,PAYMENT_RECEIVED,DEMO-0006,FY2026-04,accountant@nimbus.demo
nimbus,EVENTS_KITCHEN,JRN-2026-0007,2026-05-12T05:00:00Z,POSTED,Demo balanced journal PAYROLL_EXPENSE,PAYROLL_EXPENSE,DEMO-0007,FY2026-05,accountant@nimbus.demo
nimbus,GARDEN_CAFE,JRN-2026-0008,2026-04-02T05:00:00Z,POSTED,Demo balanced journal ORDER_REVENUE,ORDER_REVENUE,DEMO-0008,FY2026-04,accountant@nimbus.demo
nimbus,ROOFTOP_BAR,JRN-2026-0009,2026-04-06T05:00:00Z,POSTED,Demo balanced journal ORDER_REVENUE,ORDER_REVENUE,DEMO-0009,FY2026-04,accountant@nimbus.demo
nimbus,GARDEN_CAFE,JRN-2026-0010,2026-04-12T05:00:00Z,POSTED,Demo balanced journal PAYMENT_RECEIVED,PAYMENT_RECEIVED,DEMO-0010,FY2026-04,accountant@nimbus.demo
nimbus,GARDEN_CAFE,JRN-2026-0011,2026-04-27T05:00:00Z,POSTED,Demo balanced journal PAYROLL_EXPENSE,PAYROLL_EXPENSE,DEMO-0011,FY2026-04,accountant@nimbus.demo
nimbus,GARDEN_CAFE,JRN-2026-0012,2026-04-11T05:00:00Z,POSTED,Demo balanced journal PAYROLL_EXPENSE,PAYROLL_EXPENSE,DEMO-0012,FY2026-04,accountant@nimbus.demo
nimbus,ROOFTOP_BAR,JRN-2026-0013,2026-06-28T05:00:00Z,POSTED,Demo balanced journal PAYROLL_EXPENSE,PAYROLL_EXPENSE,DEMO-0013,FY2026-06,accountant@nimbus.demo
nimbus,GARDEN_CAFE,JRN-2026-0014,2026-04-03T05:00:00Z,POSTED,Demo balanced journal PAYROLL_EXPENSE,PAYROLL_EXPENSE,DEMO-0014,FY2026-04,accountant@nimbus.demo
nimbus,ROOFTOP_BAR,JRN-2026-0015,2026-04-19T05:00:00Z,POSTED,Demo balanced journal PAYMENT_RECEIVED,PAYMENT_RECEIVED,DEMO-0015,FY2026-04,accountant@nimbus.demo
nimbus,GARDEN_CAFE,JRN-2026-0016,2026-04-10T05:00:00Z,POSTED,Demo balanced journal PAYROLL_EXPENSE,PAYROLL_EXPENSE,DEMO-0016,FY2026-04,accountant@nimbus.demo
nimbus,GARDEN_CAFE,JRN-2026-0017,2026-05-09T05:00:00Z,POSTED,Demo balanced journal PAYROLL_EXPENSE,PAYROLL_EXPENSE,DEMO-0017,FY2026-05,accountant@nimbus.demo
nimbus,TAPAS_DOWNTOWN,JRN-2026-0018,2026-04-13T05:00:00Z,POSTED,Demo balanced journal ORDER_REVENUE,ORDER_REVENUE,DEMO-0018,FY2026-04,accountant@nimbus.demo
nimbus,ROOFTOP_BAR,JRN-2026-0019,2026-05-02T05:00:00Z,POSTED,Demo balanced journal PAYMENT_RECEIVED,PAYMENT_RECEIVED,DEMO-0019,FY2026-05,accountant@nimbus.demo
nimbus,ROOFTOP_BAR,JRN-2026-0020,2026-04-18T05:00:00Z,POSTED,Demo balanced journal ORDER_REVENUE,ORDER_REVENUE,DEMO-0020,FY2026-04,accountant@nimbus.demo
nimbus,GARDEN_CAFE,JRN-2026-0021,2026-06-20T05:00:00Z,POSTED,Demo balanced journal PAYMENT_RECEIVED,PAYMENT_RECEIVED,DEMO-0021,FY2026-06,accountant@nimbus.demo
nimbus,TAPAS_DOWNTOWN,JRN-2026-0022,2026-05-12T05:00:00Z,POSTED,Demo balanced journal VENDOR_BILL_PAYABLE,VENDOR_BILL_PAYABLE,DEMO-0022,FY2026-05,accountant@nimbus.demo
nimbus,EVENTS_KITCHEN,JRN-2026-0023,2026-05-31T05:00:00Z,POSTED,Demo balanced journal VENDOR_BILL_PAYABLE,VENDOR_BILL_PAYABLE,DEMO-0023,FY2026-05,accountant@nimbus.demo
nimbus,GARDEN_CAFE,JRN-2026-0024,2026-04-19T05:00:00Z,POSTED,Demo balanced journal ORDER_REVENUE,ORDER_REVENUE,DEMO-0024,FY2026-04,accountant@nimbus.demo
nimbus,EVENTS_KITCHEN,JRN-2026-0025,2026-06-16T05:00:00Z,POSTED,Demo balanced journal ORDER_REVENUE,ORDER_REVENUE,DEMO-0025,FY2026-06,accountant@nimbus.demo
nimbus,EVENTS_KITCHEN,JRN-2026-0026,2026-04-12T05:00:00Z,POSTED,Demo balanced journal PAYROLL_EXPENSE,PAYROLL_EXPENSE,DEMO-0026,FY2026-04,accountant@nimbus.demo
nimbus,EVENTS_KITCHEN,JRN-2026-0027,2026-05-15T05:00:00Z,POSTED,Demo balanced journal PAYROLL_EXPENSE,PAYROLL_EXPENSE,DEMO-0027,FY2026-05,accountant@nimbus.demo
nimbus,GARDEN_CAFE,JRN-2026-0028,2026-06-17T05:00:00Z,POSTED,Demo balanced journal PAYMENT_RECEIVED,PAYMENT_RECEIVED,DEMO-0028,FY2026-06,accountant@nimbus.demo
nimbus,GARDEN_CAFE,JRN-2026-0029,2026-05-04T05:00:00Z,POSTED,Demo balanced journal VENDOR_BILL_PAYABLE,VENDOR_BILL_PAYABLE,DEMO-0029,FY2026-05,accountant@nimbus.demo
nimbus,TAPAS_DOWNTOWN,JRN-2026-0030,2026-04-26T05:00:00Z,POSTED,Demo balanced journal ORDER_REVENUE,ORDER_REVENUE,DEMO-0030,FY2026-04,accountant@nimbus.demo
nimbus,ROOFTOP_BAR,JRN-2026-0031,2026-06-20T05:00:00Z,POSTED,Demo balanced journal PAYMENT_RECEIVED,PAYMENT_RECEIVED,DEMO-0031,FY2026-06,accountant@nimbus.demo
nimbus,EVENTS_KITCHEN,JRN-2026-0032,2026-05-16T05:00:00Z,POSTED,Demo balanced journal PAYMENT_RECEIVED,PAYMENT_RECEIVED,DEMO-0032,FY2026-05,accountant@nimbus.demo
nimbus,GARDEN_CAFE,JRN-2026-0033,2026-06-19T05:00:00Z,POSTED,Demo balanced journal PAYROLL_EXPENSE,PAYROLL_EXPENSE,DEMO-0033,FY2026-06,accountant@nimbus.demo
nimbus,EVENTS_KITCHEN,JRN-2026-0034,2026-04-17T05:00:00Z,POSTED,Demo balanced journal VENDOR_BILL_PAYABLE,VENDOR_BILL_PAYABLE,DEMO-0034,FY2026-04,accountant@nimbus.demo
nimbus,TAPAS_DOWNTOWN,JRN-2026-0035,2026-05-11T05:00:00Z,POSTED,Demo balanced journal PAYROLL_EXPENSE,PAYROLL_EXPENSE,DEMO-0035,FY2026-05,accountant@nimbus.demo
nimbus,GARDEN_CAFE,JRN-2026-0036,2026-04-29T05:00:00Z,POSTED,Demo balanced journal ORDER_REVENUE,ORDER_REVENUE,DEMO-0036,FY2026-04,accountant@nimbus.demo
nimbus,ROOFTOP_BAR,JRN-2026-0037,2026-04-26T05:00:00Z,POSTED,Demo balanced journal VENDOR_BILL_PAYABLE,VENDOR_BILL_PAYABLE,DEMO-0037,FY2026-04,accountant@nimbus.demo
nimbus,EVENTS_KITCHEN,JRN-2026-0038,2026-04-18T05:00:00Z,POSTED,Demo balanced journal ORDER_REVENUE,ORDER_REVENUE,DEMO-0038,FY2026-04,accountant@nimbus.demo
nimbus,GARDEN_CAFE,JRN-2026-0039,2026-06-27T05:00:00Z,POSTED,Demo balanced journal VENDOR_BILL_PAYABLE,VENDOR_BILL_PAYABLE,DEMO-0039,FY2026-06,accountant@nimbus.demo
nimbus,GARDEN_CAFE,JRN-2026-0040,2026-05-03T05:00:00Z,POSTED,Demo balanced journal PAYROLL_EXPENSE,PAYROLL_EXPENSE,DEMO-0040,FY2026-05,accountant@nimbus.demo
