customerCode,invoiceNumber,invoiceDate,dueDate,status,sourceType,subtotal,taxAmount,totalAmount,createdByEmail,issuedByEmail
CUST-001,INV-2026-0001,2026-05-07T09:00:00Z,2026-07-29T09:00:00Z,PAID,EVENT,2241600.00,403500.00,2645100.00,accountant@nimbus.demo,accountant@nimbus.demo
CUST-002,INV-2026-0002,2026-05-28T09:00:00Z,2026-06-25T09:00:00Z,PAID,EVENT,515100.00,92700.00,607800.00,accountant@nimbus.demo,accountant@nimbus.demo
CUST-003,INV-2026-0003,2026-05-06T09:00:00Z,2026-07-27T09:00:00Z,PARTIALLY_PAID,EVENT,2290700.00,412300.00,2703000.00,accountant@nimbus.demo,accountant@nimbus.demo
CUST-004,INV-2026-0004,2026-06-18T09:00:00Z,2026-07-14T09:00:00Z,PAID,EVENT,1950600.00,351100.00,2301700.00,accountant@nimbus.demo,accountant@nimbus.demo
CUST-005,INV-2026-0005,2026-06-17T09:00:00Z,2026-07-21T09:00:00Z,PARTIALLY_PAID,DIRECT_BILL,1019600.00,183500.00,1203100.00,accountant@nimbus.demo,accountant@nimbus.demo
CUST-006,INV-2026-0006,2026-06-11T09:00:00Z,2026-07-29T09:00:00Z,PARTIALLY_PAID,CORPORATE,1082800.00,194900.00,1277700.00,accountant@nimbus.demo,accountant@nimbus.demo
CUST-007,INV-2026-0007,2026-05-28T09:00:00Z,2026-07-04T09:00:00Z,PARTIALLY_PAID,CORPORATE,571300.00,102800.00,674100.00,accountant@nimbus.demo,accountant@nimbus.demo
CUST-008,INV-2026-0008,2026-05-23T09:00:00Z,2026-07-08T09:00:00Z,PAID,EVENT,2534500.00,456200.00,2990700.00,accountant@nimbus.demo,accountant@nimbus.demo
CUST-009,INV-2026-0009,2026-06-03T09:00:00Z,2026-06-26T09:00:00Z,ISSUED,CORPORATE,549900.00,99000.00,648900.00,accountant@nimbus.demo,accountant@nimbus.demo
CUST-010,INV-2026-0010,2026-05-21T09:00:00Z,2026-07-20T09:00:00Z,ISSUED,DIRECT_BILL,2430800.00,437500.00,2868300.00,accountant@nimbus.demo,accountant@nimbus.demo
CUST-011,INV-2026-0011,2026-05-18T09:00:00Z,2026-07-03T09:00:00Z,PAID,EVENT,1057900.00,190400.00,1248300.00,accountant@nimbus.demo,accountant@nimbus.demo
CUST-012,INV-2026-0012,2026-05-16T09:00:00Z,2026-07-03T09:00:00Z,PARTIALLY_PAID,EVENT,924200.00,166400.00,1090600.00,accountant@nimbus.demo,accountant@nimbus.demo
CUST-013,INV-2026-0013,2026-05-23T09:00:00Z,2026-06-30T09:00:00Z,PAID,CORPORATE,2491100.00,448400.00,2939500.00,accountant@nimbus.demo,accountant@nimbus.demo
CUST-014,INV-2026-0014,2026-05-31T09:00:00Z,2026-07-07T09:00:00Z,PAID,EVENT,537500.00,96800.00,634300.00,accountant@nimbus.demo,accountant@nimbus.demo
CUST-015,INV-2026-0015,2026-05-22T09:00:00Z,2026-07-21T09:00:00Z,ISSUED,CORPORATE,1519400.00,273500.00,1792900.00,accountant@nimbus.demo,accountant@nimbus.demo
CUST-016,INV-2026-0016,2026-06-10T09:00:00Z,2026-06-30T09:00:00Z,ISSUED,EVENT,1821000.00,327800.00,2148800.00,accountant@nimbus.demo,accountant@nimbus.demo
CUST-017,INV-2026-0017,2026-05-25T09:00:00Z,2026-07-03T09:00:00Z,ISSUED,CORPORATE,1697400.00,305500.00,2002900.00,accountant@nimbus.demo,accountant@nimbus.demo
CUST-018,INV-2026-0018,2026-05-11T09:00:00Z,2026-07-05T09:00:00Z,PAID,DIRECT_BILL,1753200.00,315600.00,2068800.00,accountant@nimbus.demo,accountant@nimbus.demo
