customerCode,receiptNumber,receiptDate,amount,method,status,receivedByEmail,reference,metadata
CUST-001,AR-RCPT-0001,2026-06-22T09:00:00Z,2645100.00,BANK_TRANSFER,POSTED,accountant@nimbus.demo,BANK-AR-0001,{}
CUST-002,AR-RCPT-0002,2026-06-10T09:00:00Z,607800.00,BANK_TRANSFER,POSTED,accountant@nimbus.demo,BANK-AR-0002,{}
CUST-003,AR-RCPT-0003,2026-06-13T09:00:00Z,1216400.00,BANK_TRANSFER,POSTED,accountant@nimbus.demo,BANK-AR-0003,{}
CUST-004,AR-RCPT-0004,2026-06-10T09:00:00Z,2301700.00,BANK_TRANSFER,POSTED,accountant@nimbus.demo,BANK-AR-0004,{}
CUST-005,AR-RCPT-0005,2026-06-20T09:00:00Z,541400.00,BANK_TRANSFER,POSTED,accountant@nimbus.demo,BANK-AR-0005,{}
CUST-006,AR-RCPT-0006,2026-06-23T09:00:00Z,575000.00,BANK_TRANSFER,POSTED,accountant@nimbus.demo,BANK-AR-0006,{}
CUST-007,AR-RCPT-0007,2026-06-26T09:00:00Z,303300.00,BANK_TRANSFER,POSTED,accountant@nimbus.demo,BANK-AR-0007,{}
CUST-008,AR-RCPT-0008,2026-06-22T09:00:00Z,2990700.00,BANK_TRANSFER,POSTED,accountant@nimbus.demo,BANK-AR-0008,{}
CUST-011,AR-RCPT-0011,2026-06-16T09:00:00Z,1248300.00,BANK_TRANSFER,POSTED,accountant@nimbus.demo,BANK-AR-0011,{}
CUST-012,AR-RCPT-0012,2026-06-12T09:00:00Z,490800.00,BANK_TRANSFER,POSTED,accountant@nimbus.demo,BANK-AR-0012,{}
CUST-013,AR-RCPT-0013,2026-06-25T09:00:00Z,2939500.00,BANK_TRANSFER,POSTED,accountant@nimbus.demo,BANK-AR-0013,{}
CUST-014,AR-RCPT-0014,2026-06-19T09:00:00Z,634300.00,BANK_TRANSFER,POSTED,accountant@nimbus.demo,BANK-AR-0014,{}
CUST-018,AR-RCPT-0018,2026-06-22T09:00:00Z,2068800.00,BANK_TRANSFER,POSTED,accountant@nimbus.demo,BANK-AR-0018,{}
