organizationSlug,branchCode,source,status,sentiment,rating,orderNumber,reservationNumber,customerAlias,comment
nimbus,TAPAS_DOWNTOWN,EVENT_LINK,ACKNOWLEDGED,POSITIVE,5,ORD-ROOFTOP_BAR-00572,,Demo Guest 1,Wait was a little long
nimbus,GARDEN_CAFE,RESERVATION_LINK,ACKNOWLEDGED,POSITIVE,3,ORD-GARDEN_CAFE-00655,,Demo Guest 2,Loved the ambience
nimbus,GARDEN_CAFE,QR,NEW,POSITIVE,4,ORD-ROOFTOP_BAR-00975,,Demo Guest 3,Loved the ambience
nimbus,EVENTS_KITCHEN,RESERVATION_LINK,ACKNOWLEDGED,NEUTRAL,4,ORD-TAPAS_DOWNTOWN-01123,,Demo Guest 4,Great service
nimbus,TAPAS_DOWNTOWN,ORDER_LINK,ACKNOWLEDGED,POSITIVE,3,ORD-EVENTS_KITCHEN-01036,,Demo Guest 5,Food was fresh
nimbus,TAPAS_DOWNTOWN,RESERVATION_LINK,NEW,POSITIVE,4,ORD-GARDEN_CAFE-01000,,Demo Guest 6,Loved the ambience
nimbus,ROOFTOP_BAR,EVENT_LINK,ACKNOWLEDGED,NEGATIVE,4,ORD-ROOFTOP_BAR-00709,,Demo Guest 7,Wait was a little long
nimbus,GARDEN_CAFE,ORDER_LINK,NEW,POSITIVE,4,ORD-TAPAS_DOWNTOWN-00868,,Demo Guest 8,Fast lunch
nimbus,GARDEN_CAFE,RESERVATION_LINK,NEW,NEUTRAL,3,ORD-GARDEN_CAFE-00712,,Demo Guest 9,Great service
nimbus,GARDEN_CAFE,EVENT_LINK,NEW,NEGATIVE,4,ORD-GARDEN_CAFE-01179,,Demo Guest 10,Loved the ambience
nimbus,TAPAS_DOWNTOWN,RESERVATION_LINK,RESOLVED,POSITIVE,5,ORD-TAPAS_DOWNTOWN-00421,,Demo Guest 11,Loved the ambience
nimbus,ROOFTOP_BAR,RESERVATION_LINK,ACKNOWLEDGED,NEGATIVE,4,ORD-TAPAS_DOWNTOWN-00845,,Demo Guest 12,Food was fresh
nimbus,GARDEN_CAFE,QR,ACKNOWLEDGED,POSITIVE,3,ORD-GARDEN_CAFE-00363,,Demo Guest 13,Food was fresh
nimbus,TAPAS_DOWNTOWN,EVENT_LINK,NEW,POSITIVE,5,ORD-TAPAS_DOWNTOWN-00224,,Demo Guest 14,Food was fresh
nimbus,TAPAS_DOWNTOWN,QR,ACKNOWLEDGED,POSITIVE,4,ORD-ROOFTOP_BAR-00230,,Demo Guest 15,Fast lunch
nimbus,GARDEN_CAFE,RESERVATION_LINK,NEW,NEGATIVE,5,ORD-GARDEN_CAFE-00713,,Demo Guest 16,Loved the ambience
nimbus,EVENTS_KITCHEN,QR,ACKNOWLEDGED,POSITIVE,3,ORD-TAPAS_DOWNTOWN-00942,,Demo Guest 17,Fast lunch
nimbus,EVENTS_KITCHEN,EVENT_LINK,RESOLVED,POSITIVE,3,ORD-GARDEN_CAFE-01115,,Demo Guest 18,Great service
nimbus,EVENTS_KITCHEN,QR,ACKNOWLEDGED,POSITIVE,4,ORD-GARDEN_CAFE-00679,,Demo Guest 19,Food was fresh
nimbus,GARDEN_CAFE,QR,ACKNOWLEDGED,NEUTRAL,4,ORD-ROOFTOP_BAR-00308,,Demo Guest 20,Fast lunch
nimbus,GARDEN_CAFE,ORDER_LINK,NEW,NEUTRAL,4,ORD-ROOFTOP_BAR-01074,,Demo Guest 21,Loved the ambience
nimbus,GARDEN_CAFE,ORDER_LINK,NEW,NEUTRAL,5,ORD-ROOFTOP_BAR-00152,,Demo Guest 22,Food was fresh
nimbus,GARDEN_CAFE,RESERVATION_LINK,ACKNOWLEDGED,POSITIVE,5,ORD-EVENTS_KITCHEN-01089,,Demo Guest 23,Food was fresh
nimbus,GARDEN_CAFE,ORDER_LINK,ACKNOWLEDGED,NEGATIVE,3,ORD-GARDEN_CAFE-00412,,Demo Guest 24,Loved the ambience
nimbus,TAPAS_DOWNTOWN,ORDER_LINK,RESOLVED,NEGATIVE,3,ORD-TAPAS_DOWNTOWN-00605,,Demo Guest 25,Food was fresh
nimbus,TAPAS_DOWNTOWN,EVENT_LINK,RESOLVED,NEGATIVE,3,ORD-GARDEN_CAFE-00189,,Demo Guest 26,Food was fresh
nimbus,GARDEN_CAFE,QR,ACKNOWLEDGED,NEGATIVE,3,ORD-TAPAS_DOWNTOWN-00545,,Demo Guest 27,Food was fresh
nimbus,GARDEN_CAFE,EVENT_LINK,NEW,NEGATIVE,3,ORD-EVENTS_KITCHEN-00157,,Demo Guest 28,Wait was a little long
nimbus,TAPAS_DOWNTOWN,RESERVATION_LINK,ACKNOWLEDGED,POSITIVE,3,ORD-GARDEN_CAFE-00276,,Demo Guest 29,Wait was a little long
nimbus,GARDEN_CAFE,QR,RESOLVED,POSITIVE,4,ORD-TAPAS_DOWNTOWN-00313,,Demo Guest 30,Food was fresh
nimbus,GARDEN_CAFE,QR,RESOLVED,POSITIVE,4,ORD-ROOFTOP_BAR-00031,,Demo Guest 31,Wait was a little long
nimbus,GARDEN_CAFE,EVENT_LINK,NEW,NEGATIVE,5,ORD-GARDEN_CAFE-00651,,Demo Guest 32,Great service
nimbus,GARDEN_CAFE,RESERVATION_LINK,ACKNOWLEDGED,POSITIVE,4,ORD-TAPAS_DOWNTOWN-00041,,Demo Guest 33,Wait was a little long
nimbus,TAPAS_DOWNTOWN,EVENT_LINK,ACKNOWLEDGED,NEGATIVE,3,ORD-TAPAS_DOWNTOWN-00148,,Demo Guest 34,Fast lunch
nimbus,ROOFTOP_BAR,QR,ACKNOWLEDGED,POSITIVE,5,ORD-TAPAS_DOWNTOWN-00207,,Demo Guest 35,Loved the ambience
nimbus,ROOFTOP_BAR,ORDER_LINK,ACKNOWLEDGED,POSITIVE,5,ORD-TAPAS_DOWNTOWN-00005,,Demo Guest 36,Loved the ambience
nimbus,ROOFTOP_BAR,RESERVATION_LINK,RESOLVED,POSITIVE,4,ORD-TAPAS_DOWNTOWN-00553,,Demo Guest 37,Wait was a little long
nimbus,ROOFTOP_BAR,ORDER_LINK,RESOLVED,POSITIVE,5,ORD-TAPAS_DOWNTOWN-00521,,Demo Guest 38,Wait was a little long
