branchCode,reportType,window,status,requestedByEmail,from,to,summary,rowCount,exportFormat
EVENTS_KITCHEN,DAILY_SALES,MONTH,COMPLETED,manager@nimbus.demo,2026-06-13T09:00:00Z,2026-06-30T09:00:00Z,"{""generated"": true, ""demo"": true}",133,CSV
GARDEN_CAFE,PAYMENT_MIX,WEEK,COMPLETED,manager@nimbus.demo,2026-06-07T09:00:00Z,2026-06-30T09:00:00Z,"{""generated"": true, ""demo"": true}",91,CSV
EVENTS_KITCHEN,TOP_ITEMS,MONTH,COMPLETED,manager@nimbus.demo,2026-06-20T09:00:00Z,2026-06-30T09:00:00Z,"{""generated"": true, ""demo"": true}",64,PDF
TAPAS_DOWNTOWN,STOCK_VARIANCE,WEEK,COMPLETED,manager@nimbus.demo,2026-06-16T09:00:00Z,2026-06-30T09:00:00Z,"{""generated"": true, ""demo"": true}",92,CSV
GARDEN_CAFE,ANOMALY_SUMMARY,MONTH,COMPLETED,manager@nimbus.demo,2026-06-26T09:00:00Z,2026-06-30T09:00:00Z,"{""generated"": true, ""demo"": true}",78,CSV
TAPAS_DOWNTOWN,RESERVATION_SUMMARY,MONTH,COMPLETED,manager@nimbus.demo,2026-06-02T09:00:00Z,2026-06-30T09:00:00Z,"{""generated"": true, ""demo"": true}",21,PDF
TAPAS_DOWNTOWN,DAILY_SALES,DAY,COMPLETED,manager@nimbus.demo,2026-05-31T09:00:00Z,2026-06-30T09:00:00Z,"{""generated"": true, ""demo"": true}",57,PDF
EVENTS_KITCHEN,PAYMENT_MIX,WEEK,COMPLETED,manager@nimbus.demo,2026-06-18T09:00:00Z,2026-06-30T09:00:00Z,"{""generated"": true, ""demo"": true}",286,PDF
TAPAS_DOWNTOWN,TOP_ITEMS,WEEK,COMPLETED,manager@nimbus.demo,2026-06-27T09:00:00Z,2026-06-30T09:00:00Z,"{""generated"": true, ""demo"": true}",181,PDF
ROOFTOP_BAR,STOCK_VARIANCE,MONTH,COMPLETED,manager@nimbus.demo,2026-06-16T09:00:00Z,2026-06-30T09:00:00Z,"{""generated"": true, ""demo"": true}",170,PDF
GARDEN_CAFE,ANOMALY_SUMMARY,DAY,COMPLETED,manager@nimbus.demo,2026-06-16T09:00:00Z,2026-06-30T09:00:00Z,"{""generated"": true, ""demo"": true}",86,CSV
TAPAS_DOWNTOWN,RESERVATION_SUMMARY,WEEK,COMPLETED,manager@nimbus.demo,2026-06-09T09:00:00Z,2026-06-30T09:00:00Z,"{""generated"": true, ""demo"": true}",27,CSV
ROOFTOP_BAR,DAILY_SALES,WEEK,COMPLETED,manager@nimbus.demo,2026-06-21T09:00:00Z,2026-06-30T09:00:00Z,"{""generated"": true, ""demo"": true}",93,PDF
ROOFTOP_BAR,PAYMENT_MIX,MONTH,COMPLETED,manager@nimbus.demo,2026-06-17T09:00:00Z,2026-06-30T09:00:00Z,"{""generated"": true, ""demo"": true}",232,PDF
ROOFTOP_BAR,TOP_ITEMS,DAY,COMPLETED,manager@nimbus.demo,2026-06-16T09:00:00Z,2026-06-30T09:00:00Z,"{""generated"": true, ""demo"": true}",211,PDF
TAPAS_DOWNTOWN,STOCK_VARIANCE,DAY,COMPLETED,manager@nimbus.demo,2026-06-23T09:00:00Z,2026-06-30T09:00:00Z,"{""generated"": true, ""demo"": true}",186,PDF
GARDEN_CAFE,ANOMALY_SUMMARY,MONTH,COMPLETED,manager@nimbus.demo,2026-05-31T09:00:00Z,2026-06-30T09:00:00Z,"{""generated"": true, ""demo"": true}",32,PDF
EVENTS_KITCHEN,RESERVATION_SUMMARY,WEEK,COMPLETED,manager@nimbus.demo,2026-06-28T09:00:00Z,2026-06-30T09:00:00Z,"{""generated"": true, ""demo"": true}",286,CSV
ROOFTOP_BAR,DAILY_SALES,DAY,COMPLETED,manager@nimbus.demo,2026-06-22T09:00:00Z,2026-06-30T09:00:00Z,"{""generated"": true, ""demo"": true}",195,CSV
GARDEN_CAFE,PAYMENT_MIX,WEEK,COMPLETED,manager@nimbus.demo,2026-06-08T09:00:00Z,2026-06-30T09:00:00Z,"{""generated"": true, ""demo"": true}",103,CSV
GARDEN_CAFE,TOP_ITEMS,WEEK,COMPLETED,manager@nimbus.demo,2026-06-21T09:00:00Z,2026-06-30T09:00:00Z,"{""generated"": true, ""demo"": true}",259,CSV
TAPAS_DOWNTOWN,STOCK_VARIANCE,WEEK,COMPLETED,manager@nimbus.demo,2026-06-27T09:00:00Z,2026-06-30T09:00:00Z,"{""generated"": true, ""demo"": true}",237,PDF
GARDEN_CAFE,ANOMALY_SUMMARY,DAY,COMPLETED,manager@nimbus.demo,2026-06-20T09:00:00Z,2026-06-30T09:00:00Z,"{""generated"": true, ""demo"": true}",268,CSV
ROOFTOP_BAR,RESERVATION_SUMMARY,MONTH,COMPLETED,manager@nimbus.demo,2026-06-05T09:00:00Z,2026-06-30T09:00:00Z,"{""generated"": true, ""demo"": true}",23,CSV
