organizationSlug,branchCode,label,capacity,status,floorPlanName,metadata
nimbus,TAPAS_DOWNTOWN,TD-01,4,AVAILABLE,Main Dining,"{""x"": 120, ""y"": 0, ""section"": ""Main Dining""}"
nimbus,TAPAS_DOWNTOWN,TD-02,6,AVAILABLE,Patio,"{""x"": 240, ""y"": 0, ""section"": ""Patio""}"
nimbus,TAPAS_DOWNTOWN,TD-03,8,OCCUPIED,Private Room,"{""x"": 360, ""y"": 0, ""section"": ""Private Room""}"
nimbus,TAPAS_DOWNTOWN,TD-04,10,AVAILABLE,Main Dining,"{""x"": 480, ""y"": 0, ""section"": ""Main Dining""}"
nimbus,TAPAS_DOWNTOWN,TD-05,2,RESERVED,Patio,"{""x"": 600, ""y"": 0, ""section"": ""Patio""}"
nimbus,TAPAS_DOWNTOWN,TD-06,4,AVAILABLE,Private Room,"{""x"": 0, ""y"": 90, ""section"": ""Private Room""}"
nimbus,TAPAS_DOWNTOWN,TD-07,6,OCCUPIED,Main Dining,"{""x"": 120, ""y"": 90, ""section"": ""Main Dining""}"
nimbus,TAPAS_DOWNTOWN,TD-08,8,AVAILABLE,Patio,"{""x"": 240, ""y"": 90, ""section"": ""Patio""}"
nimbus,TAPAS_DOWNTOWN,TD-09,10,AVAILABLE,Private Room,"{""x"": 360, ""y"": 90, ""section"": ""Private Room""}"
nimbus,TAPAS_DOWNTOWN,TD-10,2,AVAILABLE,Main Dining,"{""x"": 480, ""y"": 90, ""section"": ""Main Dining""}"
nimbus,TAPAS_DOWNTOWN,TD-11,4,OCCUPIED,Patio,"{""x"": 600, ""y"": 90, ""section"": ""Patio""}"
nimbus,TAPAS_DOWNTOWN,TD-12,6,RESERVED,Private Room,"{""x"": 0, ""y"": 180, ""section"": ""Private Room""}"
nimbus,TAPAS_DOWNTOWN,TD-13,8,AVAILABLE,Main Dining,"{""x"": 120, ""y"": 180, ""section"": ""Main Dining""}"
nimbus,TAPAS_DOWNTOWN,TD-14,10,AVAILABLE,Patio,"{""x"": 240, ""y"": 180, ""section"": ""Patio""}"
nimbus,TAPAS_DOWNTOWN,TD-15,2,AVAILABLE,Private Room,"{""x"": 360, ""y"": 180, ""section"": ""Private Room""}"
