organizationSlug,branchCode,name,counterpartyType,status,contactName,email,phone,paymentTermDays,metadata
nimbus,TAPAS_DOWNTOWN,Fresh Fields Produce,INVENTORY_SUPPLIER,ACTIVE,Demo Contact 1,supplier1.tapas_downtown@nimbus.demo,+256701123617,14,"{""demoSupplier"": true}"
nimbus,TAPAS_DOWNTOWN,Lake Harvest Foods,INVENTORY_SUPPLIER,ACTIVE,Demo Contact 2,supplier2.tapas_downtown@nimbus.demo,+256701595317,21,"{""demoSupplier"": true}"
nimbus,TAPAS_DOWNTOWN,Prime Poultry Demo,INVENTORY_SUPPLIER,ACTIVE,Demo Contact 3,supplier3.tapas_downtown@nimbus.demo,+256701377896,28,"{""demoSupplier"": true}"
nimbus,TAPAS_DOWNTOWN,Kampala Dry Goods,INVENTORY_SUPPLIER,ACTIVE,Demo Contact 4,supplier4.tapas_downtown@nimbus.demo,+256701473203,14,"{""demoSupplier"": true}"
nimbus,TAPAS_DOWNTOWN,Cafe Bean Collective,INVENTORY_SUPPLIER,ACTIVE,Demo Contact 5,supplier5.tapas_downtown@nimbus.demo,+256701958866,21,"{""demoSupplier"": true}"
nimbus,TAPAS_DOWNTOWN,Skyline Beverage Supply,INVENTORY_SUPPLIER,ACTIVE,Demo Contact 6,supplier6.tapas_downtown@nimbus.demo,+256701472414,28,"{""demoSupplier"": true}"
nimbus,TAPAS_DOWNTOWN,CleanOps Services,SERVICE_PROVIDER,ACTIVE,Demo Contact 7,supplier7.tapas_downtown@nimbus.demo,+256701259187,14,"{""demoSupplier"": true}"
nimbus,TAPAS_DOWNTOWN,Kampala Utilities Demo,UTILITY_PROVIDER,ACTIVE,Demo Contact 8,supplier8.tapas_downtown@nimbus.demo,+256701304825,21,"{""demoSupplier"": true}"
nimbus,TAPAS_DOWNTOWN,Event Rentals Demo,SERVICE_PROVIDER,ACTIVE,Demo Contact 9,supplier9.tapas_downtown@nimbus.demo,+256701172289,28,"{""demoSupplier"": true}"
nimbus,TAPAS_DOWNTOWN,Cloud Apps Demo,SUBSCRIPTION_VENDOR,ACTIVE,Demo Contact 10,supplier10.tapas_downtown@nimbus.demo,+256701617410,14,"{""demoSupplier"": true}"
nimbus,ROOFTOP_BAR,Fresh Fields Produce,INVENTORY_SUPPLIER,ACTIVE,Demo Contact 1,supplier1.rooftop_bar@nimbus.demo,+256701117550,14,"{""demoSupplier"": true}"
nimbus,ROOFTOP_BAR,Lake Harvest Foods,INVENTORY_SUPPLIER,ACTIVE,Demo Contact 2,supplier2.rooftop_bar@nimbus.demo,+256701381911,21,"{""demoSupplier"": true}"
nimbus,ROOFTOP_BAR,Prime Poultry Demo,INVENTORY_SUPPLIER,ACTIVE,Demo Contact 3,supplier3.rooftop_bar@nimbus.demo,+256701805826,28,"{""demoSupplier"": true}"
nimbus,ROOFTOP_BAR,Kampala Dry Goods,INVENTORY_SUPPLIER,ACTIVE,Demo Contact 4,supplier4.rooftop_bar@nimbus.demo,+256701801413,14,"{""demoSupplier"": true}"
nimbus,ROOFTOP_BAR,Cafe Bean Collective,INVENTORY_SUPPLIER,ACTIVE,Demo Contact 5,supplier5.rooftop_bar@nimbus.demo,+256701547997,21,"{""demoSupplier"": true}"
nimbus,ROOFTOP_BAR,Skyline Beverage Supply,INVENTORY_SUPPLIER,ACTIVE,Demo Contact 6,supplier6.rooftop_bar@nimbus.demo,+256701526728,28,"{""demoSupplier"": true}"
nimbus,ROOFTOP_BAR,CleanOps Services,SERVICE_PROVIDER,ACTIVE,Demo Contact 7,supplier7.rooftop_bar@nimbus.demo,+256701115898,14,"{""demoSupplier"": true}"
nimbus,ROOFTOP_BAR,Kampala Utilities Demo,UTILITY_PROVIDER,ACTIVE,Demo Contact 8,supplier8.rooftop_bar@nimbus.demo,+256701653232,21,"{""demoSupplier"": true}"
nimbus,ROOFTOP_BAR,Event Rentals Demo,SERVICE_PROVIDER,ACTIVE,Demo Contact 9,supplier9.rooftop_bar@nimbus.demo,+256701737229,28,"{""demoSupplier"": true}"
