organizationSlug,branchCode,inventoryItemName,adjustmentType,quantity,reason,adjustedAt,metadata,createdByEmail
nimbus,TAPAS_DOWNTOWN,Chicken Breast,OPENING_BALANCE,99.24,Premium demo opening stock,2026-06-17T12:00:00Z,"{""demo"": ""opening""}",stockmanager@nimbus.demo
nimbus,TAPAS_DOWNTOWN,Beef Fillet,OPENING_BALANCE,48.26,Premium demo opening stock,2026-06-01T09:00:00Z,"{""demo"": ""opening""}",stockmanager@nimbus.demo
nimbus,TAPAS_DOWNTOWN,Beef Fillet,WASTAGE,-1.32,Prep trim / normal demo wastage,2026-06-22T09:00:00Z,"{""severity"": ""normal""}",chef@nimbus.demo
nimbus,TAPAS_DOWNTOWN,Tilapia Fillet,OPENING_BALANCE,51.99,Premium demo opening stock,2026-04-08T08:00:00Z,"{""demo"": ""opening""}",stockmanager@nimbus.demo
nimbus,TAPAS_DOWNTOWN,Tilapia Fillet,WASTAGE,-2.47,Prep trim / normal demo wastage,2026-06-23T09:00:00Z,"{""severity"": ""normal""}",chef@nimbus.demo
nimbus,TAPAS_DOWNTOWN,Mushrooms,OPENING_BALANCE,110.02,Premium demo opening stock,2026-04-07T08:00:00Z,"{""demo"": ""opening""}",stockmanager@nimbus.demo
nimbus,TAPAS_DOWNTOWN,Mushrooms,WASTAGE,-1.06,Prep trim / normal demo wastage,2026-06-19T09:00:00Z,"{""severity"": ""normal""}",chef@nimbus.demo
nimbus,TAPAS_DOWNTOWN,Eggplant,OPENING_BALANCE,71.64,Premium demo opening stock,2026-05-27T06:00:00Z,"{""demo"": ""opening""}",stockmanager@nimbus.demo
nimbus,TAPAS_DOWNTOWN,Tomatoes,OPENING_BALANCE,29.10,Premium demo opening stock,2026-06-02T11:00:00Z,"{""demo"": ""opening""}",stockmanager@nimbus.demo
nimbus,TAPAS_DOWNTOWN,Avocado,OPENING_BALANCE,33.49,Premium demo opening stock,2026-05-22T08:00:00Z,"{""demo"": ""opening""}",stockmanager@nimbus.demo
