organizationSlug,branchCode,employeeCode,contractNumber,contractStatus,startsAt,salaryBasis,salaryAmount,endsAt,termsSummary,createdByEmail
nimbus,TAPAS_DOWNTOWN,EMP-001,CTR-EMP-001,ACTIVE,2025-01-01T06:00:00Z,MONTHLY,1200000.00,,Premium demo employment contract,manager@nimbus.demo
nimbus,ROOFTOP_BAR,EMP-002,CTR-EMP-002,ACTIVE,2025-02-02T06:00:00Z,MONTHLY,1200000.00,,Premium demo employment contract,manager@nimbus.demo
nimbus,GARDEN_CAFE,EMP-003,CTR-EMP-003,ACTIVE,2025-03-03T06:00:00Z,MONTHLY,1200000.00,,Premium demo employment contract,manager@nimbus.demo
nimbus,EVENTS_KITCHEN,EMP-004,CTR-EMP-004,ACTIVE,2025-04-04T06:00:00Z,MONTHLY,1200000.00,,Premium demo employment contract,manager@nimbus.demo
nimbus,TAPAS_DOWNTOWN,EMP-005,CTR-EMP-005,ACTIVE,2025-05-05T06:00:00Z,MONTHLY,900000.00,,Premium demo employment contract,manager@nimbus.demo
nimbus,ROOFTOP_BAR,EMP-006,CTR-EMP-006,ACTIVE,2025-06-06T06:00:00Z,MONTHLY,900000.00,,Premium demo employment contract,manager@nimbus.demo
nimbus,GARDEN_CAFE,EMP-007,CTR-EMP-007,ACTIVE,2025-07-07T06:00:00Z,MONTHLY,1200000.00,,Premium demo employment contract,manager@nimbus.demo
nimbus,EVENTS_KITCHEN,EMP-008,CTR-EMP-008,ACTIVE,2025-08-08T06:00:00Z,MONTHLY,1200000.00,,Premium demo employment contract,manager@nimbus.demo
nimbus,TAPAS_DOWNTOWN,EMP-009,CTR-EMP-009,ACTIVE,2025-09-09T06:00:00Z,MONTHLY,1200000.00,,Premium demo employment contract,manager@nimbus.demo
nimbus,ROOFTOP_BAR,EMP-010,CTR-EMP-010,ACTIVE,2025-10-10T06:00:00Z,MONTHLY,1200000.00,,Premium demo employment contract,manager@nimbus.demo
nimbus,GARDEN_CAFE,EMP-011,CTR-EMP-011,ACTIVE,2025-01-11T06:00:00Z,MONTHLY,1200000.00,,Premium demo employment contract,manager@nimbus.demo
nimbus,EVENTS_KITCHEN,EMP-012,CTR-EMP-012,ACTIVE,2025-02-12T06:00:00Z,MONTHLY,1200000.00,,Premium demo employment contract,manager@nimbus.demo
nimbus,TAPAS_DOWNTOWN,EMP-013,CTR-EMP-013,ACTIVE,2025-03-13T06:00:00Z,DAILY,60000.00,,Premium demo employment contract,manager@nimbus.demo
nimbus,ROOFTOP_BAR,EMP-014,CTR-EMP-014,ACTIVE,2025-04-14T06:00:00Z,MONTHLY,1200000.00,,Premium demo employment contract,manager@nimbus.demo
nimbus,GARDEN_CAFE,EMP-015,CTR-EMP-015,ACTIVE,2025-05-15T06:00:00Z,DAILY,60000.00,,Premium demo employment contract,manager@nimbus.demo
nimbus,EVENTS_KITCHEN,EMP-016,CTR-EMP-016,ACTIVE,2025-06-16T06:00:00Z,MONTHLY,900000.00,,Premium demo employment contract,manager@nimbus.demo
nimbus,TAPAS_DOWNTOWN,EMP-017,CTR-EMP-017,ACTIVE,2025-07-17T06:00:00Z,MONTHLY,900000.00,,Premium demo employment contract,manager@nimbus.demo
nimbus,ROOFTOP_BAR,EMP-018,CTR-EMP-018,ACTIVE,2025-08-18T06:00:00Z,MONTHLY,900000.00,,Premium demo employment contract,manager@nimbus.demo
nimbus,GARDEN_CAFE,EMP-019,CTR-EMP-019,ACTIVE,2025-09-19T06:00:00Z,MONTHLY,900000.00,,Premium demo employment contract,manager@nimbus.demo
nimbus,EVENTS_KITCHEN,EMP-020,CTR-EMP-020,ACTIVE,2025-10-20T06:00:00Z,MONTHLY,900000.00,,Premium demo employment contract,manager@nimbus.demo
nimbus,TAPAS_DOWNTOWN,EMP-021,CTR-EMP-021,ACTIVE,2025-01-01T06:00:00Z,MONTHLY,1200000.00,,Premium demo employment contract,manager@nimbus.demo
nimbus,ROOFTOP_BAR,EMP-022,CTR-EMP-022,ACTIVE,2025-02-02T06:00:00Z,MONTHLY,1200000.00,,Premium demo employment contract,manager@nimbus.demo
nimbus,GARDEN_CAFE,EMP-023,CTR-EMP-023,ACTIVE,2025-03-03T06:00:00Z,MONTHLY,900000.00,,Premium demo employment contract,manager@nimbus.demo
nimbus,EVENTS_KITCHEN,EMP-024,CTR-EMP-024,ACTIVE,2025-04-04T06:00:00Z,DAILY,60000.00,,Premium demo employment contract,manager@nimbus.demo
nimbus,TAPAS_DOWNTOWN,EMP-025,CTR-EMP-025,ACTIVE,2025-05-05T06:00:00Z,DAILY,60000.00,,Premium demo employment contract,manager@nimbus.demo
nimbus,ROOFTOP_BAR,EMP-026,CTR-EMP-026,ACTIVE,2025-06-06T06:00:00Z,MONTHLY,900000.00,,Premium demo employment contract,manager@nimbus.demo
nimbus,GARDEN_CAFE,EMP-027,CTR-EMP-027,ACTIVE,2025-07-07T06:00:00Z,MONTHLY,1200000.00,,Premium demo employment contract,manager@nimbus.demo
nimbus,EVENTS_KITCHEN,EMP-028,CTR-EMP-028,ACTIVE,2025-08-08T06:00:00Z,DAILY,60000.00,,Premium demo employment contract,manager@nimbus.demo
nimbus,TAPAS_DOWNTOWN,EMP-029,CTR-EMP-029,ACTIVE,2025-09-09T06:00:00Z,MONTHLY,1200000.00,,Premium demo employment contract,manager@nimbus.demo
nimbus,ROOFTOP_BAR,EMP-030,CTR-EMP-030,ACTIVE,2025-10-10T06:00:00Z,MONTHLY,900000.00,,Premium demo employment contract,manager@nimbus.demo
nimbus,GARDEN_CAFE,EMP-031,CTR-EMP-031,ACTIVE,2025-01-11T06:00:00Z,MONTHLY,900000.00,,Premium demo employment contract,manager@nimbus.demo
nimbus,EVENTS_KITCHEN,EMP-032,CTR-EMP-032,ACTIVE,2025-02-12T06:00:00Z,DAILY,60000.00,,Premium demo employment contract,manager@nimbus.demo
nimbus,TAPAS_DOWNTOWN,EMP-033,CTR-EMP-033,ACTIVE,2025-03-13T06:00:00Z,DAILY,60000.00,,Premium demo employment contract,manager@nimbus.demo
