organizationSlug,branchCode,orderNumber,userEmail,serviceType,status,subtotal,tax,discount,total,tableLabel,notes,metadata
nimbus,TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00001,waiter@nimbus.demo,DINE_IN,READY,259000.00,46600.00,0.00,305600.00,TD-19,,"{""createdAt"": ""2026-04-01T09:45:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,ROOFTOP_BAR,ORD-ROOFTOP_BAR-00002,cashier@nimbus.demo,DINE_IN,CLOSED,158000.00,28400.00,0.00,186400.00,RB-15,,"{""createdAt"": ""2026-04-01T15:00:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,GARDEN_CAFE,ORD-GARDEN_CAFE-00003,waiter@nimbus.demo,DINE_IN,NEW,90900.00,16400.00,0.00,107300.00,GC-14,,"{""createdAt"": ""2026-04-01T15:45:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00004,supervisor@nimbus.demo,DINE_IN,NEW,185300.00,31700.00,9300.00,207700.00,EV-10,,"{""createdAt"": ""2026-04-01T07:45:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00005,supervisor@nimbus.demo,DINE_IN,CLOSED,245000.00,44100.00,0.00,289100.00,TD-10,,"{""createdAt"": ""2026-04-02T10:00:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00006,supervisor@nimbus.demo,DINE_IN,READY,138000.00,24800.00,0.00,162800.00,TD-21,,"{""createdAt"": ""2026-04-02T17:30:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,ROOFTOP_BAR,ORD-ROOFTOP_BAR-00007,supervisor@nimbus.demo,DINE_IN,SENT,57000.00,9800.00,2800.00,64000.00,RB-07,,"{""createdAt"": ""2026-04-02T17:45:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,ROOFTOP_BAR,ORD-ROOFTOP_BAR-00008,cashier@nimbus.demo,DINE_IN,SENT,89600.00,16100.00,0.00,105700.00,RB-07,,"{""createdAt"": ""2026-04-02T09:45:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,GARDEN_CAFE,ORD-GARDEN_CAFE-00009,cashier@nimbus.demo,DINE_IN,SENT,80100.00,14400.00,0.00,94500.00,GC-01,,"{""createdAt"": ""2026-04-02T15:20:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,GARDEN_CAFE,ORD-GARDEN_CAFE-00010,cashier@nimbus.demo,DINE_IN,CLOSED,199200.00,34100.00,10000.00,223300.00,GC-04,,"{""createdAt"": ""2026-04-02T17:20:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00011,waiter@nimbus.demo,DINE_IN,SENT,444900.00,80100.00,0.00,525000.00,EV-07,,"{""createdAt"": ""2026-04-02T15:20:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00012,waiter@nimbus.demo,DINE_IN,CLOSED,276000.00,49700.00,0.00,325700.00,EV-03,,"{""createdAt"": ""2026-04-02T15:45:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00013,waiter@nimbus.demo,DINE_IN,SENT,64000.00,11500.00,0.00,75500.00,TD-17,,"{""createdAt"": ""2026-04-03T17:10:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00014,supervisor@nimbus.demo,DINE_IN,SERVED,72000.00,12300.00,3600.00,80700.00,TD-05,,"{""createdAt"": ""2026-04-03T10:00:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00015,supervisor@nimbus.demo,DINE_IN,CLOSED,132000.00,23800.00,0.00,155800.00,TD-17,,"{""createdAt"": ""2026-04-03T07:00:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,ROOFTOP_BAR,ORD-ROOFTOP_BAR-00016,supervisor@nimbus.demo,DINE_IN,CLOSED,105700.00,19000.00,0.00,124700.00,RB-11,,"{""createdAt"": ""2026-04-03T17:10:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,ROOFTOP_BAR,ORD-ROOFTOP_BAR-00017,cashier@nimbus.demo,DINE_IN,CLOSED,183400.00,33000.00,0.00,216400.00,RB-11,,"{""createdAt"": ""2026-04-03T07:10:00Z"", ""demoSource"": ""generated-pack""}"
