branchCode,orderNumber,lineNo,modifierGroupName,modifierOptionName,priceDelta,labelSnapshot
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00001,3,Sauce Choice,Herb Sauce,0.00,Demo modifier
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00002,3,Sauce Choice,Herb Sauce,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00004,2,Sauce Choice,Herb Sauce,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00004,3,Sauce Choice,Herb Sauce,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00005,2,Sauce Choice,Herb Sauce,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00005,4,Sauce Choice,Herb Sauce,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00006,4,Sauce Choice,Herb Sauce,0.00,Demo modifier
GARDEN_CAFE,ORD-GARDEN_CAFE-00010,1,Sauce Choice,Herb Sauce,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00011,2,Sauce Choice,Herb Sauce,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00013,1,Sauce Choice,Herb Sauce,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00014,1,Sauce Choice,Herb Sauce,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00015,3,Sauce Choice,Herb Sauce,0.00,Demo modifier
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00016,4,Sauce Choice,Herb Sauce,0.00,Demo modifier
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00017,4,Sauce Choice,Herb Sauce,0.00,Demo modifier
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00018,3,Sauce Choice,Herb Sauce,0.00,Demo modifier
GARDEN_CAFE,ORD-GARDEN_CAFE-00019,2,Drink Temperature,Iced,0.00,Demo modifier
GARDEN_CAFE,ORD-GARDEN_CAFE-00020,4,Sauce Choice,Herb Sauce,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00022,4,Sauce Choice,Herb Sauce,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00024,1,Sauce Choice,Herb Sauce,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00024,3,Sauce Choice,Herb Sauce,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00025,1,Sauce Choice,Herb Sauce,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00028,1,Sauce Choice,Herb Sauce,0.00,Demo modifier
GARDEN_CAFE,ORD-GARDEN_CAFE-00033,3,Drink Temperature,Iced,0.00,Demo modifier
