branchCode,orderNumber,paymentRef,amount,reason,status,createdByEmail,approvedByEmail,metadata
GARDEN_CAFE,ORD-GARDEN_CAFE-01001,PAY-ORD-GARDEN_CAFE-01001,39100.00,Demo guest adjustment,PENDING,manager@nimbus.demo,manager@nimbus.demo,"{""demoRefund"": true}"
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00510,PAY-ORD-ROOFTOP_BAR-00510,85900.00,Demo guest adjustment,APPROVED,manager@nimbus.demo,manager@nimbus.demo,"{""demoRefund"": true}"
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00403,PAY-ORD-TAPAS_DOWNTOWN-00403,29400.00,Demo guest adjustment,APPROVED,manager@nimbus.demo,manager@nimbus.demo,"{""demoRefund"": true}"
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00382,PAY-ORD-EVENTS_KITCHEN-00382,14100.00,Demo guest adjustment,PENDING,manager@nimbus.demo,manager@nimbus.demo,"{""demoRefund"": true}"
ROOFTOP_BAR,ORD-ROOFTOP_BAR-01109,PAY-ORD-ROOFTOP_BAR-01109,46000.00,Demo guest adjustment,PENDING,manager@nimbus.demo,manager@nimbus.demo,"{""demoRefund"": true}"
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00648,PAY-ORD-ROOFTOP_BAR-00648,28300.00,Demo guest adjustment,PENDING,manager@nimbus.demo,manager@nimbus.demo,"{""demoRefund"": true}"
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00459,PAY-ORD-EVENTS_KITCHEN-00459,33500.00,Demo guest adjustment,PENDING,manager@nimbus.demo,manager@nimbus.demo,"{""demoRefund"": true}"
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00326,PAY-ORD-TAPAS_DOWNTOWN-00326,43700.00,Demo guest adjustment,PENDING,manager@nimbus.demo,manager@nimbus.demo,"{""demoRefund"": true}"
GARDEN_CAFE,ORD-GARDEN_CAFE-00293,PAY-ORD-GARDEN_CAFE-00293,17300.00,Demo guest adjustment,PENDING,manager@nimbus.demo,manager@nimbus.demo,"{""demoRefund"": true}"
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00492,PAY-ORD-EVENTS_KITCHEN-00492,114600.00,Demo guest adjustment,APPROVED,manager@nimbus.demo,manager@nimbus.demo,"{""demoRefund"": true}"
GARDEN_CAFE,ORD-GARDEN_CAFE-00035,PAY-ORD-GARDEN_CAFE-00035,15100.00,Demo guest adjustment,APPROVED,manager@nimbus.demo,manager@nimbus.demo,"{""demoRefund"": true}"
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00950,PAY-ORD-ROOFTOP_BAR-00950,52500.00,Demo guest adjustment,APPROVED,manager@nimbus.demo,manager@nimbus.demo,"{""demoRefund"": true}"
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00898,PAY-ORD-EVENTS_KITCHEN-00898,78400.00,Demo guest adjustment,APPROVED,manager@nimbus.demo,manager@nimbus.demo,"{""demoRefund"": true}"
GARDEN_CAFE,ORD-GARDEN_CAFE-00294,PAY-ORD-GARDEN_CAFE-00294,3900.00,Demo guest adjustment,APPROVED,manager@nimbus.demo,manager@nimbus.demo,"{""demoRefund"": true}"
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00091,PAY-ORD-ROOFTOP_BAR-00091,14900.00,Demo guest adjustment,APPROVED,manager@nimbus.demo,manager@nimbus.demo,"{""demoRefund"": true}"
