branchCode,orderNumber,action,actorEmail,createdAt,metadata
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00002,RECEIPT_CREATED,cashier@nimbus.demo,2026-04-01T15:35:00Z,"{""receiptIdEqualsOrderId"": true}"
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00005,RECEIPT_CREATED,cashier@nimbus.demo,2026-04-02T10:35:00Z,"{""receiptIdEqualsOrderId"": true}"
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00005,RECEIPT_SEND_PENDING,cashier@nimbus.demo,2026-04-02T10:36:00Z,"{""status"": ""PENDING"", ""supported"": false, ""reason"": ""NO_LIVE_DELIVERY_ADAPTER""}"
GARDEN_CAFE,ORD-GARDEN_CAFE-00010,RECEIPT_CREATED,cashier@nimbus.demo,2026-04-02T17:55:00Z,"{""receiptIdEqualsOrderId"": true}"
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00012,RECEIPT_CREATED,cashier@nimbus.demo,2026-04-02T16:20:00Z,"{""receiptIdEqualsOrderId"": true}"
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00015,RECEIPT_CREATED,cashier@nimbus.demo,2026-04-03T07:35:00Z,"{""receiptIdEqualsOrderId"": true}"
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00016,RECEIPT_CREATED,cashier@nimbus.demo,2026-04-03T17:45:00Z,"{""receiptIdEqualsOrderId"": true}"
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00017,RECEIPT_CREATED,cashier@nimbus.demo,2026-04-03T07:45:00Z,"{""receiptIdEqualsOrderId"": true}"
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00022,RECEIPT_CREATED,cashier@nimbus.demo,2026-04-03T18:05:00Z,"{""receiptIdEqualsOrderId"": true}"
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00023,RECEIPT_CREATED,cashier@nimbus.demo,2026-04-03T11:05:00Z,"{""receiptIdEqualsOrderId"": true}"
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00024,RECEIPT_CREATED,cashier@nimbus.demo,2026-04-03T08:20:00Z,"{""receiptIdEqualsOrderId"": true}"
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00024,RECEIPT_SEND_PENDING,cashier@nimbus.demo,2026-04-03T08:21:00Z,"{""status"": ""PENDING"", ""supported"": false, ""reason"": ""NO_LIVE_DELIVERY_ADAPTER""}"
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00025,RECEIPT_CREATED,cashier@nimbus.demo,2026-04-04T16:05:00Z,"{""receiptIdEqualsOrderId"": true}"
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00027,RECEIPT_CREATED,cashier@nimbus.demo,2026-04-04T09:45:00Z,"{""receiptIdEqualsOrderId"": true}"
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00028,RECEIPT_CREATED,cashier@nimbus.demo,2026-04-04T10:35:00Z,"{""receiptIdEqualsOrderId"": true}"
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00031,RECEIPT_CREATED,cashier@nimbus.demo,2026-04-04T11:05:00Z,"{""receiptIdEqualsOrderId"": true}"
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00032,RECEIPT_CREATED,cashier@nimbus.demo,2026-04-04T07:55:00Z,"{""receiptIdEqualsOrderId"": true}"
GARDEN_CAFE,ORD-GARDEN_CAFE-00035,RECEIPT_CREATED,cashier@nimbus.demo,2026-04-04T08:05:00Z,"{""receiptIdEqualsOrderId"": true}"
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00037,RECEIPT_CREATED,cashier@nimbus.demo,2026-04-04T10:05:00Z,"{""receiptIdEqualsOrderId"": true}"
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00038,RECEIPT_CREATED,cashier@nimbus.demo,2026-04-04T10:20:00Z,"{""receiptIdEqualsOrderId"": true}"
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00039,RECEIPT_CREATED,cashier@nimbus.demo,2026-04-04T15:55:00Z,"{""receiptIdEqualsOrderId"": true}"
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00041,RECEIPT_CREATED,cashier@nimbus.demo,2026-04-05T07:45:00Z,"{""receiptIdEqualsOrderId"": true}"
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00042,RECEIPT_CREATED,cashier@nimbus.demo,2026-04-05T08:05:00Z,"{""receiptIdEqualsOrderId"": true}"
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00045,RECEIPT_CREATED,cashier@nimbus.demo,2026-04-05T10:55:00Z,"{""receiptIdEqualsOrderId"": true}"
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00046,RECEIPT_CREATED,cashier@nimbus.demo,2026-04-05T15:45:00Z,"{""receiptIdEqualsOrderId"": true}"
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00047,RECEIPT_CREATED,cashier@nimbus.demo,2026-04-05T15:45:00Z,"{""receiptIdEqualsOrderId"": true}"
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00048,RECEIPT_CREATED,cashier@nimbus.demo,2026-04-05T07:35:00Z,"{""receiptIdEqualsOrderId"": true}"
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00048,RECEIPT_SEND_PENDING,cashier@nimbus.demo,2026-04-05T07:36:00Z,"{""status"": ""PENDING"", ""supported"": false, ""reason"": ""NO_LIVE_DELIVERY_ADAPTER""}"
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00049,RECEIPT_CREATED,cashier@nimbus.demo,2026-04-05T15:35:00Z,"{""receiptIdEqualsOrderId"": true}"
GARDEN_CAFE,ORD-GARDEN_CAFE-00051,RECEIPT_CREATED,cashier@nimbus.demo,2026-04-05T18:05:00Z,"{""receiptIdEqualsOrderId"": true}"
GARDEN_CAFE,ORD-GARDEN_CAFE-00053,RECEIPT_CREATED,cashier@nimbus.demo,2026-04-05T15:45:00Z,"{""receiptIdEqualsOrderId"": true}"
GARDEN_CAFE,ORD-GARDEN_CAFE-00054,RECEIPT_CREATED,cashier@nimbus.demo,2026-04-05T15:35:00Z,"{""receiptIdEqualsOrderId"": true}"
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00057,RECEIPT_CREATED,cashier@nimbus.demo,2026-04-05T07:55:00Z,"{""receiptIdEqualsOrderId"": true}"
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00058,RECEIPT_CREATED,cashier@nimbus.demo,2026-04-05T15:45:00Z,"{""receiptIdEqualsOrderId"": true}"
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00059,RECEIPT_CREATED,cashier@nimbus.demo,2026-04-05T15:45:00Z,"{""receiptIdEqualsOrderId"": true}"
GARDEN_CAFE,ORD-GARDEN_CAFE-00063,RECEIPT_CREATED,cashier@nimbus.demo,2026-04-06T08:05:00Z,"{""receiptIdEqualsOrderId"": true}"
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00065,RECEIPT_CREATED,cashier@nimbus.demo,2026-04-07T09:35:00Z,"{""receiptIdEqualsOrderId"": true}"
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00066,RECEIPT_CREATED,cashier@nimbus.demo,2026-04-07T18:20:00Z,"{""receiptIdEqualsOrderId"": true}"
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00068,RECEIPT_CREATED,cashier@nimbus.demo,2026-04-07T07:55:00Z,"{""receiptIdEqualsOrderId"": true}"
GARDEN_CAFE,ORD-GARDEN_CAFE-00069,RECEIPT_CREATED,cashier@nimbus.demo,2026-04-07T10:20:00Z,"{""receiptIdEqualsOrderId"": true}"
GARDEN_CAFE,ORD-GARDEN_CAFE-00069,RECEIPT_SEND_PENDING,cashier@nimbus.demo,2026-04-07T10:21:00Z,"{""status"": ""PENDING"", ""supported"": false, ""reason"": ""NO_LIVE_DELIVERY_ADAPTER""}"
GARDEN_CAFE,ORD-GARDEN_CAFE-00070,RECEIPT_CREATED,cashier@nimbus.demo,2026-04-07T18:05:00Z,"{""receiptIdEqualsOrderId"": true}"
GARDEN_CAFE,ORD-GARDEN_CAFE-00070,RECEIPT_SEND_PENDING,cashier@nimbus.demo,2026-04-07T18:06:00Z,"{""status"": ""PENDING"", ""supported"": false, ""reason"": ""NO_LIVE_DELIVERY_ADAPTER""}"
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00071,RECEIPT_CREATED,cashier@nimbus.demo,2026-04-07T15:35:00Z,"{""receiptIdEqualsOrderId"": true}"
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00072,RECEIPT_CREATED,cashier@nimbus.demo,2026-04-07T18:20:00Z,"{""receiptIdEqualsOrderId"": true}"
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00073,RECEIPT_CREATED,cashier@nimbus.demo,2026-04-08T09:35:00Z,"{""receiptIdEqualsOrderId"": true}"
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00074,RECEIPT_CREATED,cashier@nimbus.demo,2026-04-08T16:05:00Z,"{""receiptIdEqualsOrderId"": true}"
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00076,RECEIPT_CREATED,cashier@nimbus.demo,2026-04-08T15:45:00Z,"{""receiptIdEqualsOrderId"": true}"
GARDEN_CAFE,ORD-GARDEN_CAFE-00079,RECEIPT_CREATED,cashier@nimbus.demo,2026-04-08T09:45:00Z,"{""receiptIdEqualsOrderId"": true}"
GARDEN_CAFE,ORD-GARDEN_CAFE-00080,RECEIPT_CREATED,cashier@nimbus.demo,2026-04-08T10:05:00Z,"{""receiptIdEqualsOrderId"": true}"
GARDEN_CAFE,ORD-GARDEN_CAFE-00081,RECEIPT_CREATED,cashier@nimbus.demo,2026-04-08T11:05:00Z,"{""receiptIdEqualsOrderId"": true}"
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00082,RECEIPT_CREATED,cashier@nimbus.demo,2026-04-08T10:55:00Z,"{""receiptIdEqualsOrderId"": true}"
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00083,RECEIPT_CREATED,cashier@nimbus.demo,2026-04-08T16:05:00Z,"{""receiptIdEqualsOrderId"": true}"
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00085,RECEIPT_CREATED,cashier@nimbus.demo,2026-04-09T08:05:00Z,"{""receiptIdEqualsOrderId"": true}"
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00087,RECEIPT_CREATED,cashier@nimbus.demo,2026-04-09T07:35:00Z,"{""receiptIdEqualsOrderId"": true}"
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00088,RECEIPT_CREATED,cashier@nimbus.demo,2026-04-09T10:45:00Z,"{""receiptIdEqualsOrderId"": true}"
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00089,RECEIPT_CREATED,cashier@nimbus.demo,2026-04-09T08:20:00Z,"{""receiptIdEqualsOrderId"": true}"
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00090,RECEIPT_CREATED,cashier@nimbus.demo,2026-04-09T08:05:00Z,"{""receiptIdEqualsOrderId"": true}"
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00091,RECEIPT_CREATED,cashier@nimbus.demo,2026-04-09T07:35:00Z,"{""receiptIdEqualsOrderId"": true}"
GARDEN_CAFE,ORD-GARDEN_CAFE-00093,RECEIPT_CREATED,cashier@nimbus.demo,2026-04-09T17:45:00Z,"{""receiptIdEqualsOrderId"": true}"
GARDEN_CAFE,ORD-GARDEN_CAFE-00094,RECEIPT_CREATED,cashier@nimbus.demo,2026-04-09T09:35:00Z,"{""receiptIdEqualsOrderId"": true}"
GARDEN_CAFE,ORD-GARDEN_CAFE-00096,RECEIPT_CREATED,cashier@nimbus.demo,2026-04-09T09:45:00Z,"{""receiptIdEqualsOrderId"": true}"
GARDEN_CAFE,ORD-GARDEN_CAFE-00096,RECEIPT_SEND_PENDING,cashier@nimbus.demo,2026-04-09T09:46:00Z,"{""status"": ""PENDING"", ""supported"": false, ""reason"": ""NO_LIVE_DELIVERY_ADAPTER""}"
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00097,RECEIPT_CREATED,cashier@nimbus.demo,2026-04-09T17:35:00Z,"{""receiptIdEqualsOrderId"": true}"
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00097,RECEIPT_SEND_PENDING,cashier@nimbus.demo,2026-04-09T17:36:00Z,"{""status"": ""PENDING"", ""supported"": false, ""reason"": ""NO_LIVE_DELIVERY_ADAPTER""}"
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00098,RECEIPT_CREATED,cashier@nimbus.demo,2026-04-09T18:20:00Z,"{""receiptIdEqualsOrderId"": true}"
