organizationSlug,branchCode,employeeCode,workDate,status,clockInAt,clockOutAt,minutesWorked,lateMinutes
nimbus,TAPAS_DOWNTOWN,EMP-001,2026-06-28,CLOCKED_OUT,2026-06-28T06:00:00Z,2026-06-28T15:00:00Z,540,0
nimbus,TAPAS_DOWNTOWN,EMP-001,2026-06-29,ON_LEAVE,,,,0
nimbus,TAPAS_DOWNTOWN,EMP-001,2026-06-30,LATE,2026-06-30T06:05:00Z,,,12
nimbus,ROOFTOP_BAR,EMP-002,2026-06-28,CLOCKED_OUT,2026-06-28T06:00:00Z,2026-06-28T15:00:00Z,540,0
nimbus,ROOFTOP_BAR,EMP-002,2026-06-29,CLOCKED_OUT,2026-06-29T06:00:00Z,2026-06-29T14:00:00Z,480,0
nimbus,ROOFTOP_BAR,EMP-002,2026-06-30,CLOCKED_OUT,2026-06-30T06:12:00Z,2026-06-30T15:12:00Z,540,0
nimbus,GARDEN_CAFE,EMP-003,2026-06-28,ON_LEAVE,,,,0
nimbus,GARDEN_CAFE,EMP-003,2026-06-29,LATE,2026-06-29T06:00:00Z,,,12
nimbus,GARDEN_CAFE,EMP-003,2026-06-30,LATE,2026-06-30T06:12:00Z,,,12
nimbus,EVENTS_KITCHEN,EMP-004,2026-06-28,CLOCKED_OUT,2026-06-28T06:12:00Z,2026-06-28T15:12:00Z,540,0
nimbus,EVENTS_KITCHEN,EMP-004,2026-06-29,CLOCKED_OUT,2026-06-29T06:05:00Z,2026-06-29T14:05:00Z,480,0
nimbus,EVENTS_KITCHEN,EMP-004,2026-06-30,ON_LEAVE,,,,0
nimbus,TAPAS_DOWNTOWN,EMP-005,2026-06-28,ON_LEAVE,,,,0
nimbus,TAPAS_DOWNTOWN,EMP-005,2026-06-29,CLOCKED_OUT,2026-06-29T06:00:00Z,2026-06-29T15:00:00Z,540,0
nimbus,TAPAS_DOWNTOWN,EMP-005,2026-06-30,ON_LEAVE,,,,0
nimbus,ROOFTOP_BAR,EMP-006,2026-06-28,CLOCKED_OUT,2026-06-28T06:00:00Z,2026-06-28T15:00:00Z,540,0
nimbus,ROOFTOP_BAR,EMP-006,2026-06-29,CLOCKED_OUT,2026-06-29T06:05:00Z,2026-06-29T14:05:00Z,480,0
nimbus,ROOFTOP_BAR,EMP-006,2026-06-30,CLOCKED_OUT,2026-06-30T06:05:00Z,2026-06-30T15:05:00Z,540,0
nimbus,GARDEN_CAFE,EMP-007,2026-06-28,CLOCKED_OUT,2026-06-28T06:00:00Z,2026-06-28T15:00:00Z,540,0
nimbus,GARDEN_CAFE,EMP-007,2026-06-29,LATE,2026-06-29T06:00:00Z,,,12
nimbus,GARDEN_CAFE,EMP-007,2026-06-30,CLOCKED_OUT,2026-06-30T06:12:00Z,2026-06-30T14:12:00Z,480,0
nimbus,EVENTS_KITCHEN,EMP-008,2026-06-28,CLOCKED_OUT,2026-06-28T06:00:00Z,2026-06-28T14:00:00Z,480,0
nimbus,EVENTS_KITCHEN,EMP-008,2026-06-29,CLOCKED_OUT,2026-06-29T06:12:00Z,2026-06-29T14:12:00Z,480,0
nimbus,EVENTS_KITCHEN,EMP-008,2026-06-30,CLOCKED_OUT,2026-06-30T06:05:00Z,2026-06-30T14:05:00Z,480,0
nimbus,TAPAS_DOWNTOWN,EMP-009,2026-06-28,ON_LEAVE,,,,0
nimbus,TAPAS_DOWNTOWN,EMP-009,2026-06-29,ON_LEAVE,,,,0
nimbus,TAPAS_DOWNTOWN,EMP-009,2026-06-30,ON_LEAVE,,,,0
nimbus,ROOFTOP_BAR,EMP-010,2026-06-28,ON_LEAVE,,,,0
nimbus,ROOFTOP_BAR,EMP-010,2026-06-29,CLOCKED_OUT,2026-06-29T06:05:00Z,2026-06-29T15:05:00Z,540,0
nimbus,ROOFTOP_BAR,EMP-010,2026-06-30,LATE,2026-06-30T06:05:00Z,,,12
nimbus,GARDEN_CAFE,EMP-011,2026-06-28,CLOCKED_OUT,2026-06-28T06:12:00Z,2026-06-28T15:12:00Z,540,0
nimbus,GARDEN_CAFE,EMP-011,2026-06-29,LATE,2026-06-29T06:05:00Z,,,12
nimbus,GARDEN_CAFE,EMP-011,2026-06-30,LATE,2026-06-30T06:12:00Z,,,12
nimbus,EVENTS_KITCHEN,EMP-012,2026-06-28,ON_LEAVE,,,,0
nimbus,EVENTS_KITCHEN,EMP-012,2026-06-29,CLOCKED_OUT,2026-06-29T06:00:00Z,2026-06-29T15:00:00Z,540,0
nimbus,EVENTS_KITCHEN,EMP-012,2026-06-30,LATE,2026-06-30T06:00:00Z,,,12
nimbus,TAPAS_DOWNTOWN,EMP-013,2026-06-28,LATE,2026-06-28T06:05:00Z,,,12
nimbus,TAPAS_DOWNTOWN,EMP-013,2026-06-29,ON_LEAVE,,,,0
nimbus,TAPAS_DOWNTOWN,EMP-013,2026-06-30,ON_LEAVE,,,,0
nimbus,ROOFTOP_BAR,EMP-014,2026-06-28,CLOCKED_OUT,2026-06-28T06:00:00Z,2026-06-28T15:00:00Z,540,0
nimbus,ROOFTOP_BAR,EMP-014,2026-06-29,LATE,2026-06-29T06:05:00Z,,,12
nimbus,ROOFTOP_BAR,EMP-014,2026-06-30,LATE,2026-06-30T06:12:00Z,,,12
nimbus,GARDEN_CAFE,EMP-015,2026-06-28,CLOCKED_OUT,2026-06-28T06:12:00Z,2026-06-28T15:12:00Z,540,0
nimbus,GARDEN_CAFE,EMP-015,2026-06-29,CLOCKED_OUT,2026-06-29T06:12:00Z,2026-06-29T14:12:00Z,480,0
nimbus,GARDEN_CAFE,EMP-015,2026-06-30,CLOCKED_OUT,2026-06-30T06:00:00Z,2026-06-30T15:00:00Z,540,0
nimbus,EVENTS_KITCHEN,EMP-016,2026-06-28,CLOCKED_OUT,2026-06-28T06:12:00Z,2026-06-28T15:12:00Z,540,0
nimbus,EVENTS_KITCHEN,EMP-016,2026-06-29,CLOCKED_OUT,2026-06-29T06:00:00Z,2026-06-29T14:00:00Z,480,0
nimbus,EVENTS_KITCHEN,EMP-016,2026-06-30,ON_LEAVE,,,,0
nimbus,TAPAS_DOWNTOWN,EMP-017,2026-06-28,CLOCKED_OUT,2026-06-28T06:12:00Z,2026-06-28T14:12:00Z,480,0
nimbus,TAPAS_DOWNTOWN,EMP-017,2026-06-29,CLOCKED_OUT,2026-06-29T06:12:00Z,2026-06-29T14:12:00Z,480,0
nimbus,TAPAS_DOWNTOWN,EMP-017,2026-06-30,LATE,2026-06-30T06:05:00Z,,,12
nimbus,ROOFTOP_BAR,EMP-018,2026-06-28,CLOCKED_OUT,2026-06-28T06:00:00Z,2026-06-28T14:00:00Z,480,0
nimbus,ROOFTOP_BAR,EMP-018,2026-06-29,CLOCKED_OUT,2026-06-29T06:12:00Z,2026-06-29T14:12:00Z,480,0
nimbus,ROOFTOP_BAR,EMP-018,2026-06-30,LATE,2026-06-30T06:00:00Z,,,12
nimbus,GARDEN_CAFE,EMP-019,2026-06-28,CLOCKED_OUT,2026-06-28T06:05:00Z,2026-06-28T15:05:00Z,540,0
nimbus,GARDEN_CAFE,EMP-019,2026-06-29,LATE,2026-06-29T06:05:00Z,,,12
nimbus,GARDEN_CAFE,EMP-019,2026-06-30,CLOCKED_OUT,2026-06-30T06:12:00Z,2026-06-30T14:12:00Z,480,0
nimbus,EVENTS_KITCHEN,EMP-020,2026-06-28,CLOCKED_OUT,2026-06-28T06:00:00Z,2026-06-28T15:00:00Z,540,0
nimbus,EVENTS_KITCHEN,EMP-020,2026-06-29,LATE,2026-06-29T06:00:00Z,,,12
nimbus,EVENTS_KITCHEN,EMP-020,2026-06-30,CLOCKED_OUT,2026-06-30T06:12:00Z,2026-06-30T14:12:00Z,480,0
nimbus,TAPAS_DOWNTOWN,EMP-021,2026-06-28,ON_LEAVE,,,,0
nimbus,TAPAS_DOWNTOWN,EMP-021,2026-06-29,CLOCKED_OUT,2026-06-29T06:05:00Z,2026-06-29T15:05:00Z,540,0
nimbus,TAPAS_DOWNTOWN,EMP-021,2026-06-30,ON_LEAVE,,,,0
nimbus,ROOFTOP_BAR,EMP-022,2026-06-28,LATE,2026-06-28T06:12:00Z,,,12
nimbus,ROOFTOP_BAR,EMP-022,2026-06-29,ON_LEAVE,,,,0
nimbus,ROOFTOP_BAR,EMP-022,2026-06-30,ON_LEAVE,,,,0
nimbus,GARDEN_CAFE,EMP-023,2026-06-28,ON_LEAVE,,,,0
nimbus,GARDEN_CAFE,EMP-023,2026-06-29,CLOCKED_OUT,2026-06-29T06:00:00Z,2026-06-29T15:00:00Z,540,0
