organizationSlug,branchCode,ruleCode,severity,status,evidence,actorEmail,acknowledgedByEmail
nimbus,TAPAS_DOWNTOWN,LATE_CLOSE,HIGH,RESOLVED,"{""demoEvidence"": true, ""value"": 24}",stockmanager@nimbus.demo,manager@nimbus.demo
nimbus,GARDEN_CAFE,LOW_STOCK,HIGH,RESOLVED,"{""demoEvidence"": true, ""value"": 62}",cashier@nimbus.demo,manager@nimbus.demo
nimbus,EVENTS_KITCHEN,LATE_CLOSE,HIGH,OPEN,"{""demoEvidence"": true, ""value"": 7}",stockmanager@nimbus.demo,manager@nimbus.demo
nimbus,GARDEN_CAFE,LATE_CLOSE,MEDIUM,RESOLVED,"{""demoEvidence"": true, ""value"": 48}",waiter@nimbus.demo,manager@nimbus.demo
nimbus,EVENTS_KITCHEN,CASH_VARIANCE,HIGH,ACKNOWLEDGED,"{""demoEvidence"": true, ""value"": 64}",waiter@nimbus.demo,manager@nimbus.demo
nimbus,ROOFTOP_BAR,LOW_STOCK,MEDIUM,ACKNOWLEDGED,"{""demoEvidence"": true, ""value"": 79}",waiter@nimbus.demo,manager@nimbus.demo
nimbus,TAPAS_DOWNTOWN,WASTAGE_SPIKE,LOW,RESOLVED,"{""demoEvidence"": true, ""value"": 14}",cashier@nimbus.demo,manager@nimbus.demo
nimbus,TAPAS_DOWNTOWN,WASTAGE_SPIKE,LOW,RESOLVED,"{""demoEvidence"": true, ""value"": 95}",waiter@nimbus.demo,manager@nimbus.demo
nimbus,EVENTS_KITCHEN,CASH_VARIANCE,MEDIUM,OPEN,"{""demoEvidence"": true, ""value"": 98}",stockmanager@nimbus.demo,manager@nimbus.demo
nimbus,ROOFTOP_BAR,LATE_CLOSE,LOW,ACKNOWLEDGED,"{""demoEvidence"": true, ""value"": 24}",stockmanager@nimbus.demo,manager@nimbus.demo
nimbus,ROOFTOP_BAR,LATE_CLOSE,LOW,OPEN,"{""demoEvidence"": true, ""value"": 64}",waiter@nimbus.demo,manager@nimbus.demo
nimbus,EVENTS_KITCHEN,WASTAGE_SPIKE,LOW,RESOLVED,"{""demoEvidence"": true, ""value"": 89}",stockmanager@nimbus.demo,manager@nimbus.demo
nimbus,TAPAS_DOWNTOWN,LOW_STOCK,HIGH,OPEN,"{""demoEvidence"": true, ""value"": 81}",stockmanager@nimbus.demo,manager@nimbus.demo
nimbus,TAPAS_DOWNTOWN,WASTAGE_SPIKE,LOW,ACKNOWLEDGED,"{""demoEvidence"": true, ""value"": 29}",stockmanager@nimbus.demo,manager@nimbus.demo
nimbus,EVENTS_KITCHEN,LATE_CLOSE,LOW,ACKNOWLEDGED,"{""demoEvidence"": true, ""value"": 95}",cashier@nimbus.demo,manager@nimbus.demo
nimbus,ROOFTOP_BAR,WASTAGE_SPIKE,MEDIUM,OPEN,"{""demoEvidence"": true, ""value"": 11}",cashier@nimbus.demo,manager@nimbus.demo
nimbus,TAPAS_DOWNTOWN,LOW_STOCK,HIGH,ACKNOWLEDGED,"{""demoEvidence"": true, ""value"": 29}",waiter@nimbus.demo,manager@nimbus.demo
nimbus,ROOFTOP_BAR,WASTAGE_SPIKE,MEDIUM,ACKNOWLEDGED,"{""demoEvidence"": true, ""value"": 4}",cashier@nimbus.demo,manager@nimbus.demo
nimbus,GARDEN_CAFE,LOW_STOCK,MEDIUM,ACKNOWLEDGED,"{""demoEvidence"": true, ""value"": 85}",stockmanager@nimbus.demo,manager@nimbus.demo
nimbus,TAPAS_DOWNTOWN,CASH_VARIANCE,MEDIUM,OPEN,"{""demoEvidence"": true, ""value"": 47}",cashier@nimbus.demo,manager@nimbus.demo
