organizationSlug,branchCode,type,name,activationCode,status,station,capabilities,metadata
nimbus,TAPAS_DOWNTOWN,POS_TERMINAL,Tapas Downtown POS 1,ACT-TAPAS_DOWNTOWN-POS1,ACTIVE,FRONT,"[""orders"", ""payments""]","{""liveHardware"": false}"
nimbus,TAPAS_DOWNTOWN,KDS_SCREEN,Tapas Downtown Kitchen KDS,ACT-TAPAS_DOWNTOWN-KDS1,ACTIVE,KITCHEN,"[""tickets""]","{""liveHardware"": false}"
nimbus,TAPAS_DOWNTOWN,PRINTER,Tapas Downtown Receipt Printer,ACT-TAPAS_DOWNTOWN-PRN1,ACTIVE,RECEIPT,"[""metadata-route-only""]","{""printDriverInvoked"": false}"
nimbus,TAPAS_DOWNTOWN,PAYMENT_TERMINAL_STUB,Tapas Downtown Terminal Stub,ACT-TAPAS_DOWNTOWN-TERM1,ACTIVE,CASHIER,"[""stub-only""]","{""acquirerTraffic"": false}"
nimbus,ROOFTOP_BAR,POS_TERMINAL,Rooftop Bar POS 1,ACT-ROOFTOP_BAR-POS1,ACTIVE,FRONT,"[""orders"", ""payments""]","{""liveHardware"": false}"
nimbus,ROOFTOP_BAR,KDS_SCREEN,Rooftop Bar Kitchen KDS,ACT-ROOFTOP_BAR-KDS1,ACTIVE,KITCHEN,"[""tickets""]","{""liveHardware"": false}"
nimbus,ROOFTOP_BAR,PRINTER,Rooftop Bar Receipt Printer,ACT-ROOFTOP_BAR-PRN1,ACTIVE,RECEIPT,"[""metadata-route-only""]","{""printDriverInvoked"": false}"
nimbus,ROOFTOP_BAR,PAYMENT_TERMINAL_STUB,Rooftop Bar Terminal Stub,ACT-ROOFTOP_BAR-TERM1,ACTIVE,CASHIER,"[""stub-only""]","{""acquirerTraffic"": false}"
nimbus,GARDEN_CAFE,POS_TERMINAL,Garden Cafe POS 1,ACT-GARDEN_CAFE-POS1,ACTIVE,FRONT,"[""orders"", ""payments""]","{""liveHardware"": false}"
nimbus,GARDEN_CAFE,KDS_SCREEN,Garden Cafe Kitchen KDS,ACT-GARDEN_CAFE-KDS1,ACTIVE,KITCHEN,"[""tickets""]","{""liveHardware"": false}"
nimbus,GARDEN_CAFE,PRINTER,Garden Cafe Receipt Printer,ACT-GARDEN_CAFE-PRN1,ACTIVE,RECEIPT,"[""metadata-route-only""]","{""printDriverInvoked"": false}"
nimbus,GARDEN_CAFE,PAYMENT_TERMINAL_STUB,Garden Cafe Terminal Stub,ACT-GARDEN_CAFE-TERM1,ACTIVE,CASHIER,"[""stub-only""]","{""acquirerTraffic"": false}"
nimbus,EVENTS_KITCHEN,POS_TERMINAL,Events Kitchen / Banquet Hall POS 1,ACT-EVENTS_KITCHEN-POS1,ACTIVE,FRONT,"[""orders"", ""payments""]","{""liveHardware"": false}"
nimbus,EVENTS_KITCHEN,KDS_SCREEN,Events Kitchen / Banquet Hall Kitchen KDS,ACT-EVENTS_KITCHEN-KDS1,ACTIVE,KITCHEN,"[""tickets""]","{""liveHardware"": false}"
nimbus,EVENTS_KITCHEN,PRINTER,Events Kitchen / Banquet Hall Receipt Printer,ACT-EVENTS_KITCHEN-PRN1,ACTIVE,RECEIPT,"[""metadata-route-only""]","{""printDriverInvoked"": false}"
nimbus,EVENTS_KITCHEN,PAYMENT_TERMINAL_STUB,Events Kitchen / Banquet Hall Terminal Stub,ACT-EVENTS_KITCHEN-TERM1,ACTIVE,CASHIER,"[""stub-only""]","{""acquirerTraffic"": false}"
